AddressID,Number,Street,City,State,ZipCode,FDN_Country
655,4574,Unter den Linden,Los Angeles,,76768,FR
115,8786,Avenue de l'Opéra,Paris,,25118,CH
26,2926,Via Roma,New York,,15014,ES
760,9775,Goethestraße,San Francisco,,51114,FR
282,9933,Gran Via,Berlin,,60488,CH
251,4174,Oak Ave,Miami,,67154,GB
229,8519,Passeig de Gràcia,Seattle,WA,97248,US
143,5968,Goethestraße,Marseille,,97062,GB
755,5144,Cedar Ln,Denver,,49363,IT
105,5068,Goethestraße,Chicago,,62743,BE
693,9084,Park Blvd,London,,65108,ES
759,2852,Corso Buenos Aires,Amsterdam,,49446,CH
914,8978,Main St,Boston,,47606,CH
559,7044,Via Roma,Brussels,,95813,GB
90,7619,Baker Street,Milan,,98555,IT
605,8376,Oxford Street,Denver,,32241,GB
433,4650,Gran Via,Seattle,,92960,FR
33,1531,Rue de Rivoli,Seattle,,50687,IT
31,3263,Park Blvd,Paris,,16057,GB
96,7785,Corso Buenos Aires,Marseille,,69692,GB
224,9432,High Street,Miami,,60328,CH
239,6548,Rue de Rivoli,Munich,,95990,NL
518,1747,Goethestraße,Manchester,IA,91214,US
617,7612,Oak Ave,Geneva,,42662,BE
28,7479,Park Blvd,Milan,,97500,FR
575,9158,Corso Buenos Aires,Chicago,,68008,BE
204,6992,Passeig de Gràcia,Milan,,30861,BE
734,7374,Avenue Victor Hugo,Manchester,,93579,NL
666,8541,Oxford Street,Los Angeles,,41358,ES
719,7207,Maple Rd,Miami,,47450,ES
986,4452,Avenue de l'Opéra,Chicago,,80798,GB
430,2268,Park Blvd,Manchester,,60205,FR
226,3506,Maple Rd,Barcelona,,63424,DE
460,8891,Baker Street,Barcelona,,18161,IT
604,6884,Königstraße,Amsterdam,,12560,GB
285,7815,Main St,San Francisco,,49139,CH
829,6866,Passeig de Gràcia,Denver,,81582,CH
891,8000,Rue de Rivoli,New York,,67125,GB
7,476,Königstraße,Chicago,,97670,NL
778,2705,Baker Street,Munich,,91560,CH
826,442,Königstraße,Amsterdam,,83975,BE
164,1376,Goethestraße,Munich,NH,23819,US
715,4263,Königstraße,Chicago,IL,59598,US
983,5530,Königstraße,New York,,65255,IT
349,1342,Oxford Street,Paris,,80702,ES
964,5734,Rue de Rivoli,Los Angeles,CA,85426,US
160,509,Rue de Rivoli,London,AK,81439,US
221,3909,Park Blvd,Rome,,97747,DE
782,9241,High Street,Milan,,43586,FR
345,2750,Corso Buenos Aires,Brussels,,25012,IT
990,5097,Cedar Ln,Amsterdam,,13365,DE
95,9434,Königstraße,Madrid,,35995,ES
390,9701,Rue de Rivoli,Berlin,,49529,FR
100,9273,Oak Ave,San Francisco,,79827,FR
368,6072,Maple Rd,Zurich,,94874,CH
868,208,Goethestraße,Rome,,23833,IT
353,5935,Baker Street,Miami,,30052,CH
619,2886,Gran Via,Los Angeles,,45400,CH
271,7922,Baker Street,Barcelona,,87656,BE
827,5281,Rue de Rivoli,Marseille,,46559,ES
45,3996,Baker Street,Amsterdam,,89997,NL
748,5512,Main St,Rome,,52600,CH
471,7989,High Street,San Francisco,,43862,DE
550,4582,Corso Buenos Aires,Miami,,46211,IT
128,167,Gran Via,London,,21221,BE
388,6659,Oxford Street,Geneva,,41499,GB
81,8042,Baker Street,Paris,,22196,NL
566,3631,Königstraße,Miami,,41890,ES
301,9529,Unter den Linden,Rome,,82544,ES
850,5633,Goethestraße,Denver,,82140,BE
644,5765,Baker Street,New York,,50189,IT
634,3778,Cedar Ln,Denver,,35242,ES
907,1959,Passeig de Gràcia,Miami,,34267,IT
883,3546,Oxford Street,New York,,87278,GB
371,9778,Boulevard Saint-Germain,Berlin,,35443,BE
592,3728,Unter den Linden,Frankfurt,,49618,ES
197,8752,Park Blvd,New York,AZ,07146,US
722,4787,Park Blvd,Los Angeles,,74340,BE
72,201,Via Roma,Boston,,71524,FR
47,7217,Avenue de l'Opéra,Frankfurt,,16734,NL
678,7828,Cedar Ln,Marseille,,62521,ES
234,1214,Via Roma,Los Angeles,,99974,NL
792,2486,Park Blvd,Amsterdam,MD,11164,US
297,1941,Passeig de Gràcia,Barcelona,,89471,GB
82,8562,Königstraße,Milan,,68028,GB
876,9643,Goethestraße,Boston,,84531,ES
978,9989,Cedar Ln,London,SD,27659,US
888,1331,Sunset Blvd,Manchester,,32782,ES
104,1230,Sunset Blvd,Paris,,63545,BE
947,9730,Oxford Street,Boston,,14278,NL
954,4721,Boulevard Saint-Germain,Miami,,69510,GB
465,3825,Avenue Victor Hugo,Los Angeles,,87304,FR
651,6966,Cedar Ln,Geneva,,39466,GB
855,4353,Park Blvd,Marseille,,17816,DE
374,5040,Corso Buenos Aires,Denver,,84607,DE
167,7196,Cedar Ln,Milan,,49857,ES
380,4461,Gran Via,Geneva,,74722,CH
364,1318,Corso Buenos Aires,Lyon,,66626,NL
215,9892,Avenue Victor Hugo,Paris,,21970,IT
687,9425,Via Roma,Paris,,98117,GB
274,9442,Oak Ave,Frankfurt,,71669,ES
970,7246,Avenue Victor Hugo,Frankfurt,,86720,BE
700,8057,Maple Rd,Rome,,55607,CH
664,5461,Avenue de l'Opéra,Seattle,,23710,CH
74,5404,Goethestraße,Miami,,74942,DE
624,6562,Passeig de Gràcia,Lyon,,69614,ES
927,5154,Avenue Victor Hugo,Chicago,,25194,FR
176,8432,Main St,Seattle,,81118,CH
547,6771,Oak Ave,London,,77952,NL
747,8168,Baker Street,Lyon,,36680,IT
994,8999,Park Blvd,Boston,,67424,ES
168,1990,Main St,Los Angeles,,89806,NL
474,2595,Boulevard Saint-Germain,Geneva,,11792,GB
389,6685,Maple Rd,Manchester,,24871,BE
277,1925,Park Blvd,Rome,,48254,NL
656,4480,Goethestraße,Rome,,71894,BE
705,7484,Passeig de Gràcia,Munich,,60277,GB
571,9821,Gran Via,Denver,,27892,GB
225,4527,Goethestraße,Chicago,,76550,FR
702,43,Boulevard Saint-Germain,Denver,,49132,ES
333,2435,Baker Street,Geneva,,73483,NL
864,5447,Passeig de Gràcia,Geneva,,59441,IT
787,5273,High Street,Miami,,41300,NL
795,3827,Goethestraße,Lyon,,51704,CH
58,6247,Königstraße,Seattle,,95461,NL
235,8116,Oak Ave,Munich,,75836,DE
842,1645,Baker Street,Berlin,,78937,IT
982,252,Park Blvd,Barcelona,,95823,NL
825,1226,Oxford Street,New York,,54375,DE
324,1316,Avenue de l'Opéra,Seattle,,79942,CH
411,5189,Oxford Street,Geneva,,14705,CH
275,3847,Boulevard Saint-Germain,Manchester,,21846,FR
68,1613,Cedar Ln,Milan,,31805,CH
217,475,Oak Ave,Chicago,,17355,ES
581,5874,Unter den Linden,Barcelona,,29080,ES
736,8703,Goethestraße,Amsterdam,,99364,GB
323,2786,Sunset Blvd,Marseille,,89887,DE
218,3946,Oxford Street,Amsterdam,,28758,CH
672,7556,Avenue Victor Hugo,Milan,,43466,GB
512,7623,Boulevard Saint-Germain,Seattle,OH,20706,US
406,7238,Unter den Linden,Amsterdam,,49210,FR
659,4098,Baker Street,Boston,,36111,CH
470,7917,Cedar Ln,Manchester,,59986,CH
147,9418,Boulevard Saint-Germain,Miami,,48696,IT
272,6485,Avenue Victor Hugo,Paris,OR,89889,US
992,9936,Oxford Street,Boston,WY,30162,US
253,3589,High Street,Brussels,,42850,IT
763,1592,Oak Ave,Boston,,67779,DE
974,9496,Unter den Linden,Denver,FL,11813,US
552,5353,Goethestraße,Frankfurt,,36318,ES
270,8838,Unter den Linden,Zurich,,75771,DE
765,2696,Avenue Victor Hugo,Rome,,48684,ES
599,1887,Baker Street,Marseille,,28449,IT
439,6512,Passeig de Gràcia,San Francisco,,21836,GB
598,229,Avenue Victor Hugo,Geneva,,26199,CH
409,6039,Avenue Victor Hugo,Amsterdam,,59941,NL
925,1776,Rue de Rivoli,Rome,,13280,IT
881,5375,Corso Buenos Aires,Manchester,,94889,BE
142,7607,Boulevard Saint-Germain,Los Angeles,,63516,FR
522,2291,Oak Ave,Lyon,,49893,FR
506,1903,Cedar Ln,Manchester,,80457,NL
94,6368,Baker Street,San Francisco,,97881,DE
774,6867,Via Roma,Denver,,30253,BE
49,1623,Oxford Street,Brussels,,63492,CH
113,537,Unter den Linden,London,,68115,ES
157,3869,Unter den Linden,Berlin,,99873,NL
643,8921,Unter den Linden,Lyon,,62184,IT
958,3110,Cedar Ln,Milan,,22015,ES
812,9784,Main St,Lyon,,53713,GB
697,2064,Via Roma,London,,18992,GB
956,3395,Via Roma,London,,40539,BE
611,2418,Corso Buenos Aires,Paris,,46342,IT
66,2130,Passeig de Gràcia,New York,,32871,DE
395,423,Park Blvd,Paris,,56955,FR
391,9648,Avenue de l'Opéra,Paris,,32838,GB
828,859,Park Blvd,Denver,,65176,ES
480,1863,Maple Rd,Rome,,68756,BE
542,8409,Via Roma,Berlin,,69245,IT
258,3630,Corso Buenos Aires,Lyon,,96363,BE
567,4942,Baker Street,Los Angeles,,14082,BE
12,7848,Königstraße,Barcelona,UT,14150,US
830,7268,Maple Rd,Marseille,,52219,NL
739,1077,Park Blvd,New York,,91830,DE
118,5328,Königstraße,Brussels,,79541,BE
699,7434,Gran Via,Brussels,,66387,ES
936,1875,Passeig de Gràcia,Denver,,38183,FR
769,7399,Rue de Rivoli,Barcelona,,54424,CH
899,6533,Goethestraße,Denver,,22463,NL
788,6993,Avenue de l'Opéra,Seattle,,43408,IT
657,2501,Oxford Street,Marseille,,21957,IT
955,1528,Goethestraße,Berlin,,58843,FR
998,9116,Oak Ave,Amsterdam,,83608,DE
931,5401,Cedar Ln,Barcelona,,56346,BE
