"PublisherID","SourceID","MaterialNumber","MaterialDescription","NormalizedMaterialDesc","SAPClient","SAPPlantScope","MaterialStatus","SafetyStock","ReorderPoint","LeadTimeDays","BatchManaged","SerialNumberProfile","CreatedOn","FID_BaseUOM","FID_IndustrySector","FID_MaterialGroup","FID_MaterialType","FID_ProcurementType","PublisherID_Product","SourceID_Product","FID_ValuationClass"
"PLM","MAT-000001","MAT-000001","Wireless Headphones Series 02 manufacturing material","WIRELESS HEADPHONES SERIES 02 MANUFACTURING MATERIAL","100","US01","Active","30","15","6","false","SER01","2024-01-04","UOM-EA","IND-MFG","MATGRP-ELEC","MTYPE-FERT","PROC-E","SAPMDG","PRD-000001","VAL-3000"
"PLM","MAT-000002","MAT-000002","Industrial Sensor Series 03 manufacturing material","INDUSTRIAL SENSOR SERIES 03 MANUFACTURING MATERIAL","200","US02","Active","40","20","7","false","SER02","2024-01-07","UOM-EA","IND-RET","MATGRP-ELEC","MTYPE-HALB","PROC-F","SAPMDG","PRD-000002","VAL-7900"
"PLM","MAT-000003","MAT-000003","Laptop Docking Station Series 04 manufacturing material","LAPTOP DOCKING STATION SERIES 04 MANUFACTURING MATERIAL","300","DE01","Active","50","25","8","true","NONE","2024-01-10","UOM-EA","IND-HC","MATGRP-ELEC","MTYPE-ROH","PROC-X","SAPMDG","PRD-000003","VAL-7920"
"PLM","MAT-000004","MAT-000004","Smart Air Purifier Series 05 manufacturing material","SMART AIR PURIFIER SERIES 05 MANUFACTURING MATERIAL","100","CN01","Active","60","30","9","false","BATCH","2024-01-13","UOM-EA","IND-AUTO","MATGRP-HOME","MTYPE-VERP","PROC-K","SAPMDG","PRD-000004","VAL-3100"
"PLM","MAT-000005","MAT-000005","Sterile Procedure Kit Series 06 manufacturing material","STERILE PROCEDURE KIT SERIES 06 MANUFACTURING MATERIAL","200","IN01","Active","70","35","10","false","SER01","2024-01-16","UOM-BOX","IND-CP","MATGRP-MED","MTYPE-HAWA","PROC-E","SAPMDG","PRD-000005","VAL-4000"
"PLM","MAT-000006","MAT-000006","Plant Maintenance Filter Series 07 manufacturing material","PLANT MAINTENANCE FILTER SERIES 07 MANUFACTURING MATERIAL","300","MX01","Active","80","40","11","true","SER02","2024-01-19","UOM-EA","IND-MFG","MATGRP-CONS","MTYPE-FERT","PROC-F","SAPMDG","PRD-000006","VAL-5000"
"PLM","MAT-000007","MAT-000007","EV Battery Module Series 08 manufacturing material","EV BATTERY MODULE SERIES 08 MANUFACTURING MATERIAL","100","US01","Active","90","10","12","true","NONE","2024-01-22","UOM-EA","IND-RET","MATGRP-AUTO","MTYPE-HALB","PROC-X","SAPMDG","PRD-000007","VAL-3000"
"PLM","MAT-000008","MAT-000008","Recyclable Shipping Case Series 09 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 09 MANUFACTURING MATERIAL","200","US02","Active","100","15","13","false","BATCH","2024-01-25","UOM-BOX","IND-HC","MATGRP-PACK","MTYPE-ROH","PROC-K","SAPMDG","PRD-000008","VAL-7900"
"PLM","MAT-000009","MAT-000009","Wireless Headphones Series 01 manufacturing material","WIRELESS HEADPHONES SERIES 01 MANUFACTURING MATERIAL","300","DE01","Active","20","20","14","true","SER01","2024-01-28","UOM-EA","IND-AUTO","MATGRP-ELEC","MTYPE-VERP","PROC-E","SAPMDG","PRD-000009","VAL-7920"
"PLM","MAT-000010","MAT-000010","Industrial Sensor Series 02 manufacturing material","INDUSTRIAL SENSOR SERIES 02 MANUFACTURING MATERIAL","100","CN01","Active","30","25","15","false","SER02","2024-01-31","UOM-EA","IND-CP","MATGRP-ELEC","MTYPE-HAWA","PROC-F","SAPMDG","PRD-000010","VAL-3100"
"PLM","MAT-000011","MAT-000011","Laptop Docking Station Series 03 manufacturing material","LAPTOP DOCKING STATION SERIES 03 MANUFACTURING MATERIAL","200","IN01","Active","40","30","16","false","NONE","2024-02-03","UOM-EA","IND-MFG","MATGRP-ELEC","MTYPE-FERT","PROC-X","SAPMDG","PRD-000011","VAL-4000"
"PLM","MAT-000012","MAT-000012","Smart Air Purifier Series 04 manufacturing material","SMART AIR PURIFIER SERIES 04 MANUFACTURING MATERIAL","300","MX01","Active","50","35","17","true","BATCH","2024-02-06","UOM-EA","IND-RET","MATGRP-HOME","MTYPE-HALB","PROC-K","SAPMDG","PRD-000012","VAL-5000"
"PLM","MAT-000013","MAT-000013","Sterile Procedure Kit Series 05 manufacturing material","STERILE PROCEDURE KIT SERIES 05 MANUFACTURING MATERIAL","100","US01","Active","60","40","18","false","SER01","2024-02-09","UOM-BOX","IND-HC","MATGRP-MED","MTYPE-ROH","PROC-E","SAPMDG","PRD-000013","VAL-3000"
"PLM","MAT-000014","MAT-000014","Plant Maintenance Filter Series 06 manufacturing material","PLANT MAINTENANCE FILTER SERIES 06 MANUFACTURING MATERIAL","200","US02","Active","70","10","19","false","SER02","2024-02-12","UOM-EA","IND-AUTO","MATGRP-CONS","MTYPE-VERP","PROC-F","SAPMDG","PRD-000014","VAL-7900"
"PLM","MAT-000015","MAT-000015","EV Battery Module Series 07 manufacturing material","EV BATTERY MODULE SERIES 07 MANUFACTURING MATERIAL","300","DE01","Active","80","15","20","true","NONE","2024-02-15","UOM-EA","IND-CP","MATGRP-AUTO","MTYPE-HAWA","PROC-X","SAPMDG","PRD-000015","VAL-7920"
"PLM","MAT-000016","MAT-000016","Recyclable Shipping Case Series 08 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 08 MANUFACTURING MATERIAL","100","CN01","Phase Out","90","20","21","false","BATCH","2024-02-18","UOM-BOX","IND-MFG","MATGRP-PACK","MTYPE-FERT","PROC-K","SAPMDG","PRD-000016","VAL-3100"
"PLM","MAT-000017","MAT-000017","Wireless Headphones Series 09 manufacturing material","WIRELESS HEADPHONES SERIES 09 MANUFACTURING MATERIAL","200","IN01","Active","100","25","22","false","SER01","2024-02-21","UOM-EA","IND-RET","MATGRP-ELEC","MTYPE-HALB","PROC-E","SAPMDG","PRD-000017","VAL-4000"
"PLM","MAT-000018","MAT-000018","Industrial Sensor Series 01 manufacturing material","INDUSTRIAL SENSOR SERIES 01 MANUFACTURING MATERIAL","300","MX01","Active","20","30","5","true","SER02","2024-02-24","UOM-EA","IND-HC","MATGRP-ELEC","MTYPE-ROH","PROC-F","SAPMDG","PRD-000018","VAL-5000"
"PLM","MAT-000019","MAT-000019","Laptop Docking Station Series 02 manufacturing material","LAPTOP DOCKING STATION SERIES 02 MANUFACTURING MATERIAL","100","US01","Active","30","35","6","false","NONE","2024-02-27","UOM-EA","IND-AUTO","MATGRP-ELEC","MTYPE-VERP","PROC-X","SAPMDG","PRD-000019","VAL-3000"
"PLM","MAT-000020","MAT-000020","Smart Air Purifier Series 03 manufacturing material","SMART AIR PURIFIER SERIES 03 MANUFACTURING MATERIAL","200","US02","Active","40","40","7","false","BATCH","2024-03-01","UOM-EA","IND-CP","MATGRP-HOME","MTYPE-HAWA","PROC-K","SAPMDG","PRD-000020","VAL-7900"
"PLM","MAT-000021","MAT-000021","Sterile Procedure Kit Series 04 manufacturing material","STERILE PROCEDURE KIT SERIES 04 MANUFACTURING MATERIAL","300","DE01","Active","50","10","8","true","SER01","2024-03-04","UOM-BOX","IND-MFG","MATGRP-MED","MTYPE-FERT","PROC-E","SAPMDG","PRD-000021","VAL-7920"
"PLM","MAT-000022","MAT-000022","Plant Maintenance Filter Series 05 manufacturing material","PLANT MAINTENANCE FILTER SERIES 05 MANUFACTURING MATERIAL","100","CN01","Active","60","15","9","false","SER02","2024-03-07","UOM-EA","IND-RET","MATGRP-CONS","MTYPE-HALB","PROC-F","SAPMDG","PRD-000022","VAL-3100"
"PLM","MAT-000023","MAT-000023","EV Battery Module Series 06 manufacturing material","EV BATTERY MODULE SERIES 06 MANUFACTURING MATERIAL","200","IN01","Active","70","20","10","true","NONE","2024-03-10","UOM-EA","IND-HC","MATGRP-AUTO","MTYPE-ROH","PROC-X","SAPMDG","PRD-000023","VAL-4000"
"PLM","MAT-000024","MAT-000024","Recyclable Shipping Case Series 07 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 07 MANUFACTURING MATERIAL","300","MX01","Active","80","25","11","true","BATCH","2024-03-13","UOM-BOX","IND-AUTO","MATGRP-PACK","MTYPE-VERP","PROC-K","SAPMDG","PRD-000024","VAL-5000"
"PLM","MAT-000025","MAT-000025","Wireless Headphones Series 08 manufacturing material","WIRELESS HEADPHONES SERIES 08 MANUFACTURING MATERIAL","100","US01","Active","90","30","12","false","SER01","2024-03-16","UOM-EA","IND-CP","MATGRP-ELEC","MTYPE-HAWA","PROC-E","SAPMDG","PRD-000025","VAL-3000"
"PLM","MAT-000026","MAT-000026","Industrial Sensor Series 09 manufacturing material","INDUSTRIAL SENSOR SERIES 09 MANUFACTURING MATERIAL","200","US02","Active","100","35","13","false","SER02","2024-03-19","UOM-EA","IND-MFG","MATGRP-ELEC","MTYPE-FERT","PROC-F","SAPMDG","PRD-000026","VAL-7900"
"PLM","MAT-000027","MAT-000027","Laptop Docking Station Series 01 manufacturing material","LAPTOP DOCKING STATION SERIES 01 MANUFACTURING MATERIAL","300","DE01","Active","20","40","14","true","NONE","2024-03-22","UOM-EA","IND-RET","MATGRP-ELEC","MTYPE-HALB","PROC-X","SAPMDG","PRD-000027","VAL-7920"
"PLM","MAT-000028","MAT-000028","Smart Air Purifier Series 02 manufacturing material","SMART AIR PURIFIER SERIES 02 MANUFACTURING MATERIAL","100","CN01","Active","30","10","15","false","BATCH","2024-03-25","UOM-EA","IND-HC","MATGRP-HOME","MTYPE-ROH","PROC-K","SAPMDG","PRD-000028","VAL-3100"
"PLM","MAT-000029","MAT-000029","Sterile Procedure Kit Series 03 manufacturing material","STERILE PROCEDURE KIT SERIES 03 MANUFACTURING MATERIAL","200","IN01","Active","40","15","16","false","SER01","2024-03-28","UOM-BOX","IND-AUTO","MATGRP-MED","MTYPE-VERP","PROC-E","SAPMDG","PRD-000029","VAL-4000"
"PLM","MAT-000030","MAT-000030","Plant Maintenance Filter Series 04 manufacturing material","PLANT MAINTENANCE FILTER SERIES 04 MANUFACTURING MATERIAL","300","MX01","Active","50","20","17","true","SER02","2024-03-31","UOM-EA","IND-CP","MATGRP-CONS","MTYPE-HAWA","PROC-F","SAPMDG","PRD-000030","VAL-5000"
"PLM","MAT-000031","MAT-000031","EV Battery Module Series 05 manufacturing material","EV BATTERY MODULE SERIES 05 MANUFACTURING MATERIAL","100","US01","Active","60","25","18","true","NONE","2024-04-03","UOM-EA","IND-MFG","MATGRP-AUTO","MTYPE-FERT","PROC-X","SAPMDG","PRD-000031","VAL-3000"
"PLM","MAT-000032","MAT-000032","Recyclable Shipping Case Series 06 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 06 MANUFACTURING MATERIAL","200","US02","Phase Out","70","30","19","false","BATCH","2024-04-06","UOM-BOX","IND-RET","MATGRP-PACK","MTYPE-HALB","PROC-K","SAPMDG","PRD-000032","VAL-7900"
"PLM","MAT-000033","MAT-000033","Wireless Headphones Series 07 manufacturing material","WIRELESS HEADPHONES SERIES 07 MANUFACTURING MATERIAL","300","DE01","Active","80","35","20","true","SER01","2024-04-09","UOM-EA","IND-HC","MATGRP-ELEC","MTYPE-ROH","PROC-E","SAPMDG","PRD-000033","VAL-7920"
"PLM","MAT-000034","MAT-000034","Industrial Sensor Series 08 manufacturing material","INDUSTRIAL SENSOR SERIES 08 MANUFACTURING MATERIAL","100","CN01","Active","90","40","21","false","SER02","2024-04-12","UOM-EA","IND-AUTO","MATGRP-ELEC","MTYPE-VERP","PROC-F","SAPMDG","PRD-000034","VAL-3100"
"PLM","MAT-000035","MAT-000035","Laptop Docking Station Series 09 manufacturing material","LAPTOP DOCKING STATION SERIES 09 MANUFACTURING MATERIAL","200","IN01","Active","100","10","22","false","NONE","2024-04-15","UOM-EA","IND-CP","MATGRP-ELEC","MTYPE-HAWA","PROC-X","SAPMDG","PRD-000035","VAL-4000"
"PLM","MAT-000036","MAT-000036","Smart Air Purifier Series 01 manufacturing material","SMART AIR PURIFIER SERIES 01 MANUFACTURING MATERIAL","300","MX01","Active","20","15","5","true","BATCH","2024-04-18","UOM-EA","IND-MFG","MATGRP-HOME","MTYPE-FERT","PROC-K","SAPMDG","PRD-000036","VAL-5000"
"PLM","MAT-000037","MAT-000037","Sterile Procedure Kit Series 02 manufacturing material","STERILE PROCEDURE KIT SERIES 02 MANUFACTURING MATERIAL","100","US01","Active","30","20","6","false","SER01","2024-04-21","UOM-BOX","IND-RET","MATGRP-MED","MTYPE-HALB","PROC-E","SAPMDG","PRD-000037","VAL-3000"
"PLM","MAT-000038","MAT-000038","Plant Maintenance Filter Series 03 manufacturing material","PLANT MAINTENANCE FILTER SERIES 03 MANUFACTURING MATERIAL","200","US02","Active","40","25","7","false","SER02","2024-04-24","UOM-EA","IND-HC","MATGRP-CONS","MTYPE-ROH","PROC-F","SAPMDG","PRD-000038","VAL-7900"
"PLM","MAT-000039","MAT-000039","EV Battery Module Series 04 manufacturing material","EV BATTERY MODULE SERIES 04 MANUFACTURING MATERIAL","300","DE01","Active","50","30","8","true","NONE","2024-04-27","UOM-EA","IND-AUTO","MATGRP-AUTO","MTYPE-VERP","PROC-X","SAPMDG","PRD-000039","VAL-7920"
"PLM","MAT-000040","MAT-000040","Recyclable Shipping Case Series 05 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 05 MANUFACTURING MATERIAL","100","CN01","Active","60","35","9","false","BATCH","2024-04-30","UOM-BOX","IND-CP","MATGRP-PACK","MTYPE-HAWA","PROC-K","SAPMDG","PRD-000040","VAL-3100"
"PLM","MAT-000041","MAT-000041","Wireless Headphones Series 06 manufacturing material","WIRELESS HEADPHONES SERIES 06 MANUFACTURING MATERIAL","200","IN01","Active","70","40","10","false","SER01","2024-05-03","UOM-EA","IND-MFG","MATGRP-ELEC","MTYPE-FERT","PROC-E","SAPMDG","PRD-000041","VAL-4000"
"PLM","MAT-000042","MAT-000042","Industrial Sensor Series 07 manufacturing material","INDUSTRIAL SENSOR SERIES 07 MANUFACTURING MATERIAL","300","MX01","Active","80","10","11","true","SER02","2024-05-06","UOM-EA","IND-RET","MATGRP-ELEC","MTYPE-HALB","PROC-F","SAPMDG","PRD-000042","VAL-5000"
"PLM","MAT-000043","MAT-000043","Laptop Docking Station Series 08 manufacturing material","LAPTOP DOCKING STATION SERIES 08 MANUFACTURING MATERIAL","100","US01","Active","90","15","12","false","NONE","2024-05-09","UOM-EA","IND-HC","MATGRP-ELEC","MTYPE-ROH","PROC-X","SAPMDG","PRD-000043","VAL-3000"
"PLM","MAT-000044","MAT-000044","Smart Air Purifier Series 09 manufacturing material","SMART AIR PURIFIER SERIES 09 MANUFACTURING MATERIAL","200","US02","Active","100","20","13","false","BATCH","2024-05-12","UOM-EA","IND-AUTO","MATGRP-HOME","MTYPE-VERP","PROC-K","SAPMDG","PRD-000044","VAL-7900"
"PLM","MAT-000045","MAT-000045","Sterile Procedure Kit Series 01 manufacturing material","STERILE PROCEDURE KIT SERIES 01 MANUFACTURING MATERIAL","300","DE01","Active","20","25","14","true","SER01","2024-05-15","UOM-BOX","IND-CP","MATGRP-MED","MTYPE-HAWA","PROC-E","SAPMDG","PRD-000045","VAL-7920"
"PLM","MAT-000046","MAT-000046","Plant Maintenance Filter Series 02 manufacturing material","PLANT MAINTENANCE FILTER SERIES 02 MANUFACTURING MATERIAL","100","CN01","Active","30","30","15","false","SER02","2024-05-18","UOM-EA","IND-MFG","MATGRP-CONS","MTYPE-FERT","PROC-F","SAPMDG","PRD-000046","VAL-3100"
"PLM","MAT-000047","MAT-000047","EV Battery Module Series 03 manufacturing material","EV BATTERY MODULE SERIES 03 MANUFACTURING MATERIAL","200","IN01","Active","40","35","16","true","NONE","2024-05-21","UOM-EA","IND-RET","MATGRP-AUTO","MTYPE-HALB","PROC-X","SAPMDG","PRD-000047","VAL-4000"
"PLM","MAT-000048","MAT-000048","Recyclable Shipping Case Series 04 manufacturing material","RECYCLABLE SHIPPING CASE SERIES 04 MANUFACTURING MATERIAL","300","MX01","Phase Out","50","40","17","true","BATCH","2024-05-24","UOM-BOX","IND-HC","MATGRP-PACK","MTYPE-ROH","PROC-K","SAPMDG","PRD-000048","VAL-5000"
"PLM","MAT-000049","MAT-000049","Wireless Headphones Series 05 manufacturing material","WIRELESS HEADPHONES SERIES 05 MANUFACTURING MATERIAL","100","US01","Active","60","10","18","false","SER01","2024-05-27","UOM-EA","IND-AUTO","MATGRP-ELEC","MTYPE-VERP","PROC-E","SAPMDG","PRD-000049","VAL-3000"
"PLM","MAT-000050","MAT-000050","Industrial Sensor Series 06 manufacturing material","INDUSTRIAL SENSOR SERIES 06 MANUFACTURING MATERIAL","200","US02","Active","70","15","19","false","SER02","2024-05-30","UOM-EA","IND-CP","MATGRP-ELEC","MTYPE-HAWA","PROC-F","SAPMDG","PRD-000050","VAL-7900"
"PLM","MAT-000051","MAT-000051","Laptop Docking Station Series 07 manufacturing material","LAPTOP DOCKING STATION SERIES 07 MANUFACTURING MATERIAL","300","DE01","Active","80","20","20","true","NONE","2024-06-02","UOM-EA","IND-MFG","MATGRP-ELEC","MTYPE-FERT","PROC-X","SAPMDG","PRD-000051","VAL-7920"
"PLM","MAT-000052","MAT-000052","Smart Air Purifier Series 08 manufacturing material","SMART AIR PURIFIER SERIES 08 MANUFACTURING MATERIAL","100","CN01","Active","90","25","21","false","BATCH","2024-06-05","UOM-EA","IND-RET","MATGRP-HOME","MTYPE-HALB","PROC-K","SAPMDG","PRD-000052","VAL-3100"
"PLM","MAT-000053","MAT-000053","Sterile Procedure Kit Series 09 manufacturing material","STERILE PROCEDURE KIT SERIES 09 MANUFACTURING MATERIAL","200","IN01","Active","100","30","22","false","SER01","2024-06-08","UOM-BOX","IND-HC","MATGRP-MED","MTYPE-ROH","PROC-E","SAPMDG","PRD-000053","VAL-4000"
"PLM","MAT-000054","MAT-000054","Plant Maintenance Filter Series 01 manufacturing material","PLANT MAINTENANCE FILTER SERIES 01 MANUFACTURING MATERIAL","300","MX01","Active","20","35","5","true","SER02","2024-06-11","UOM-EA","IND-AUTO","MATGRP-CONS","MTYPE-VERP","PROC-F","SAPMDG","PRD-000054","VAL-5000"
