VehicleMakeID,MakeCode,MakeName,Description,Website
1,FORD,Ford,"Vehicle manufacturer commonly represented in personal auto, commercial auto, and fleet policies.",https://www.ford.com
2,CHEVROLET,Chevrolet,"Vehicle manufacturer with passenger cars, trucks, vans, and commercial fleet units.",https://www.chevrolet.com
3,TOYOTA,Toyota,"Vehicle manufacturer with broad personal auto and light commercial vehicle exposure.",https://www.toyota.com
4,HONDA,Honda,"Vehicle manufacturer commonly used for personal auto and small business vehicle schedules.",https://automobiles.honda.com
5,NISSAN,Nissan,"Vehicle manufacturer with passenger vehicles, pickups, and commercial vans.",https://www.nissanusa.com
6,RAM,Ram,"Truck manufacturer often associated with pickup, cargo, and contractor fleet risks.",https://www.ramtrucks.com
7,GMC,GMC,"Vehicle manufacturer focused on trucks, vans, SUVs, and commercial vehicle applications.",https://www.gmc.com
8,JEEP,Jeep,"Vehicle manufacturer known for SUVs and off-road capable passenger vehicles.",https://www.jeep.com
9,SUBARU,Subaru,"Vehicle manufacturer commonly represented in personal auto portfolios.",https://www.subaru.com
10,BMW,BMW,"Luxury vehicle manufacturer used for higher-value personal auto exposures.",https://www.bmwusa.com
11,MERCEDES_BENZ,Mercedes-Benz,"Luxury and commercial vehicle manufacturer with passenger, van, and fleet exposures.",https://www.mbusa.com
12,TESLA,Tesla,"Electric vehicle manufacturer with advanced driver-assistance and battery-electric exposures.",https://www.tesla.com
