part_id,name,part_number,description,supplier,compatible_machines,stock_quantity,location,reorder_level,unit_cost
1,Hydraulic Seal Kit,HYD-SEAL-H800-01,High-pressure seal kit for H800 press,2,9;1,85,Press Maintenance Bay,8,45
2,Hydraulic Pump,HYD-PUMP-H800-02,Main hydraulic pump assembly,2,9;4,15,Central Hydraulic Store,2,1200
3,Pressure Relief Valve,PRV-H800-03,Safety pressure relief valve,1,20;23,25,Press Maintenance Bay,3,180
4,Plasma Electrode,PLM-ELEC-P150-01,Hafnium electrode for P150 cutter,1,7;5,200,Cutting Tools Storage,20,25
5,Gas Nozzle,PLM-NOZ-P150-02,Precision gas nozzle,2,8;5,150,Cutting Tools Storage,15,18
6,Power Module,PLM-PWR-P150-03,High-frequency power module,1,21;6,8,Electronics Storage,1,850
7,Drill Chuck,DRL-CHK-X200-01,Precision drill chuck 0.5-13mm,1,11;16,45,Machining Tools Store,5,120
8,Belt Drive Set,DRL-BLT-X200-02,Variable speed belt drive,1,10;23,30,Machining Tools Store,3,85
9,Depth Stop,DRL-STP-X200-03,Digital depth stop assembly,1,23;2,60,Machining Tools Store,6,65
10,Welding Torch,WLD-TRC-W500-01,Automated welding torch head,2,14;9,12,Robotic Storage,2,450
