ID,Name,Description,ChainID
1,Balanced Absolute Return Fund 01,Balanced Absolute Return Fund 01 focuses on sustainable investing through a diversified portfolio.,80366
2,Pioneer Bond Fund 02,Pioneer Bond Fund 02 focuses on liquidity management through a diversified portfolio.,11967
3,Pioneer Multi-Asset Fund 03,Pioneer Multi-Asset Fund 03 focuses on capital preservation through a diversified portfolio.,24201
4,Balanced Energy Fund 04,Balanced Energy Fund 04 focuses on tactical allocation through a diversified portfolio.,72204
5,Value Small Cap Fund 05,Value Small Cap Fund 05 focuses on capital preservation through a diversified portfolio.,87176
6,Alpha Commodities Fund 06,Alpha Commodities Fund 06 focuses on diversified exposure through a diversified portfolio.,77668
7,Summit Large Cap Fund 07,Summit Large Cap Fund 07 focuses on risk-adjusted returns through a diversified portfolio.,61915
8,Balanced Energy Fund 08,Balanced Energy Fund 08 focuses on long-term capital appreciation through a diversified portfolio.,73071
9,Prime Emerging Markets Fund 09,Prime Emerging Markets Fund 09 focuses on risk-adjusted returns through a diversified portfolio.,74819
10,Sustainable Multi-Asset Fund 10,Sustainable Multi-Asset Fund 10 focuses on risk-adjusted returns through a diversified portfolio.,83246
11,Heritage Large Cap Fund 11,Heritage Large Cap Fund 11 focuses on capital preservation through a diversified portfolio.,26757
12,Dynamic Income Fund 12,Dynamic Income Fund 12 focuses on income generation through a diversified portfolio.,35674
13,Growth Tech Fund 13,Growth Tech Fund 13 focuses on capital preservation through a diversified portfolio.,20372
14,Heritage Small Cap Fund 14,Heritage Small Cap Fund 14 focuses on tactical allocation through a diversified portfolio.,32660
15,Quantum Credit Fund 15,Quantum Credit Fund 15 focuses on global diversification through a diversified portfolio.,85738
16,Strategic Dividend Fund 16,Strategic Dividend Fund 16 focuses on liquidity management through a diversified portfolio.,88056
17,Opportunity Tech Fund 17,Opportunity Tech Fund 17 focuses on diversified exposure through a diversified portfolio.,56971
18,Sustainable Infrastructure Fund 18,Sustainable Infrastructure Fund 18 focuses on liquidity management through a diversified portfolio.,68207
19,Value Equity Fund 19,Value Equity Fund 19 focuses on diversified exposure through a diversified portfolio.,11785
20,Pioneer Commodities Fund 20,Pioneer Commodities Fund 20 focuses on sustainable investing through a diversified portfolio.,45808
21,Value Income Fund 21,Value Income Fund 21 focuses on liquidity management through a diversified portfolio.,68473
22,Balanced Equity Fund 22,Balanced Equity Fund 22 focuses on tactical allocation through a diversified portfolio.,27682
23,Prime Income Fund 23,Prime Income Fund 23 focuses on global diversification through a diversified portfolio.,63549
24,Opportunity Healthcare Fund 24,Opportunity Healthcare Fund 24 focuses on long-term capital appreciation through a diversified portfolio.,44487
25,Select Large Cap Fund 25,Select Large Cap Fund 25 focuses on diversified exposure through a diversified portfolio.,31510
26,Prime ESG Fund 26,Prime ESG Fund 26 focuses on global diversification through a diversified portfolio.,93701
27,Core Large Cap Fund 27,Core Large Cap Fund 27 focuses on tactical allocation through a diversified portfolio.,65704
28,Summit Real Estate Fund 28,Summit Real Estate Fund 28 focuses on risk-adjusted returns through a diversified portfolio.,19979
29,Quantum Healthcare Fund 29,Quantum Healthcare Fund 29 focuses on inflation hedging through a diversified portfolio.,29303
30,Core Small Cap Fund 30,Core Small Cap Fund 30 focuses on long-term capital appreciation through a diversified portfolio.,24536
31,Prime Index Fund 31,Prime Index Fund 31 focuses on tactical allocation through a diversified portfolio.,31577
32,Strategic ESG Fund 32,Strategic ESG Fund 32 focuses on liquidity management through a diversified portfolio.,17008
33,Vision Liquidity Fund 33,Vision Liquidity Fund 33 focuses on risk-adjusted returns through a diversified portfolio.,36724
34,Summit Income Fund 34,Summit Income Fund 34 focuses on sustainable investing through a diversified portfolio.,79305
35,Balanced Infrastructure Fund 35,Balanced Infrastructure Fund 35 focuses on risk-adjusted returns through a diversified portfolio.,42929
36,Select Energy Fund 36,Select Energy Fund 36 focuses on inflation hedging through a diversified portfolio.,39990
37,Select Energy Fund 37,Select Energy Fund 37 focuses on sustainable investing through a diversified portfolio.,72747
38,Prime Commodities Fund 38,Prime Commodities Fund 38 focuses on diversified exposure through a diversified portfolio.,54846
39,Pioneer Multi-Asset Fund 39,Pioneer Multi-Asset Fund 39 focuses on income generation through a diversified portfolio.,39881
40,Vision Private Equity Fund 40,Vision Private Equity Fund 40 focuses on global diversification through a diversified portfolio.,66371
