StorageLocationID,StorageLocationCode,StorageLocationName,Active,FID_Plant,InpAddressLine,InpCity,InpState,InpPostalCode,InpCountry
STO-US01-0001,0001,Austin Manufacturing Raw and Packaging,true,PLT-US01,12900 N Interstate Hwy 35,Austin,TX,78753,USA
STO-US01-0002,0002,Austin Manufacturing Finished Goods,true,PLT-US01,12900 N Interstate Hwy 35,Austin,TX,78753,USA
STO-US02-0001,0001,Raleigh Distribution Raw and Packaging,true,PLT-US02,8001 T W Alexander Dr,Raleigh,NC,27617,USA
STO-US02-0002,0002,Raleigh Distribution Finished Goods,true,PLT-US02,8001 T W Alexander Dr,Raleigh,NC,27617,USA
STO-DE01-0001,0001,Stuttgart Assembly Raw and Packaging,true,PLT-DE01,Mercedesstrasse 120,Stuttgart,Baden-Wurttemberg,70372,Germany
STO-DE01-0002,0002,Stuttgart Assembly Finished Goods,true,PLT-DE01,Mercedesstrasse 120,Stuttgart,Baden-Wurttemberg,70372,Germany
STO-CN01-0001,0001,Shenzhen Manufacturing Raw and Packaging,true,PLT-CN01,High-Tech Industrial Park,Shenzhen,Guangdong,518057,China
STO-CN01-0002,0002,Shenzhen Manufacturing Finished Goods,true,PLT-CN01,High-Tech Industrial Park,Shenzhen,Guangdong,518057,China
STO-IN01-0001,0001,Pune Manufacturing Raw and Packaging,true,PLT-IN01,Hinjewadi Phase 2,Pune,Maharashtra,411057,India
STO-IN01-0002,0002,Pune Manufacturing Finished Goods,true,PLT-IN01,Hinjewadi Phase 2,Pune,Maharashtra,411057,India
STO-MX01-0001,0001,Monterrey Assembly Raw and Packaging,true,PLT-MX01,Avenida Miguel Aleman 100,Monterrey,Nuevo Leon,66600,Mexico
STO-MX01-0002,0002,Monterrey Assembly Finished Goods,true,PLT-MX01,Avenida Miguel Aleman 100,Monterrey,Nuevo Leon,66600,Mexico
