AssetTypeID,AssetTypeCode,AssetTypeName,Description
1,VEHICLE,Vehicle,"Licensed automobile, truck, van, or fleet unit scheduled for coverage."
2,BUILDING,Building,"Commercial building or structure insured under a property policy."
3,DWELLING,Dwelling,"Residential dwelling, condominium unit, or similar homeowner property exposure."
4,BUSINESS_PERSONAL_PROPERTY,Business Personal Property,"Furniture, fixtures, inventory, and other business contents at an insured location."
5,EQUIPMENT,Equipment,"Business equipment, tools, or machinery scheduled as covered property."
6,INVENTORY,Inventory,"Stock or goods held for sale, distribution, or business operations."
7,PERSONAL_PROPERTY,Personal Property,"Personal property or contents associated with a residential insured."
8,WATERCRAFT,Watercraft,"Boat, personal watercraft, or similar marine asset scheduled for coverage."
9,TRAILER,Trailer,"Trailer or non-powered unit attached to a vehicle or used in business operations."
10,MOBILE_EQUIPMENT,Mobile Equipment,"Mobile machinery, contractor equipment, or off-road equipment exposure."
