InsuranceProductID,ProductCode,ProductName,ProductDescription,ProductStatus,EffectiveFrom,EffectiveTo,FDN_LineOfBusiness
PRD001,AUTO-COMM-STD,Commercial Auto Standard,Standard coverage for business-owned vehicles and liability exposures,ACTIVE,"Jan 01, 2020",,LOB001
PRD002,AUTO-COMM-FLEET,Commercial Fleet Auto,Coverage for businesses operating multiple commercial vehicles,ACTIVE,"Jan 01, 2020",,LOB001
PRD003,AUTO-COMM-HIRED,Hired and Non-Owned Auto,Covers hired vehicles and employee-owned vehicles used for business purposes,ACTIVE,"Jan 01, 2020",,LOB001
PRD004,AUTO-COMM-TRUCK,Commercial Trucking Auto,Auto liability and physical damage coverage for trucking operations,ACTIVE,"Jan 01, 2020",,LOB001
PRD005,PROP-BLDG,Commercial Building Property,Covers owned commercial buildings against covered causes of loss,ACTIVE,"Jan 01, 2020",,LOB002
PRD006,PROP-BPP,Business Personal Property,Covers business contents equipment inventory and other personal property,ACTIVE,"Jan 01, 2020",,LOB002
PRD007,PROP-BI,Commercial Property with Business Income,Covers property damage and related business income loss,ACTIVE,"Jan 01, 2020",,LOB002
PRD008,PROP-SPEC,Special Form Commercial Property,Broad commercial property coverage using special cause of loss form,ACTIVE,"Jan 01, 2020",,LOB002
PRD009,AUTO-PERS-STD,Personal Auto Standard,Standard personal auto liability and physical damage coverage,ACTIVE,"Jan 01, 2020",,LOB003
PRD010,AUTO-PERS-PREF,Personal Auto Preferred,Preferred personal auto product for lower-risk drivers and vehicles,ACTIVE,"Jan 01, 2020",,LOB003
PRD011,AUTO-PERS-NONSTD,Personal Auto Non-Standard,Personal auto coverage for higher-risk drivers or non-standard risks,ACTIVE,"Jan 01, 2020",,LOB003
PRD012,AUTO-PERS-MULTI,Personal Auto Multi-Vehicle,Coverage package for households with multiple private passenger vehicles,ACTIVE,"Jan 01, 2020",,LOB003
PRD013,HOME-HO3,Homeowners HO-3 Special Form,Standard homeowners coverage for owner-occupied dwellings,ACTIVE,"Jan 01, 2020",,LOB004
PRD014,HOME-HO5,Homeowners HO-5 Comprehensive,Comprehensive homeowners coverage with broader personal property protection,ACTIVE,"Jan 01, 2020",,LOB004
PRD015,HOME-CONDO,Condominium Unitowners Coverage,Covers condominium unit interiors personal property and liability,ACTIVE,"Jan 01, 2020",,LOB004
PRD016,HOME-RENTERS,Renters Insurance,Covers tenant personal property and personal liability,ACTIVE,"Jan 01, 2020",,LOB004
