VehicleTypeID,VehicleTypeCode,VehicleTypeName,Description
1,PASSENGER_CAR,Passenger Car,"Private passenger automobile such as sedan, coupe, hatchback, or wagon."
2,SUV,Sport Utility Vehicle,"Sport utility or crossover vehicle used for personal or light business driving."
3,PICKUP,Pickup Truck,"Light-duty pickup used for personal, trade, contractor, or small fleet operations."
4,CARGO_VAN,Cargo Van,"Van configured primarily for cargo, tools, equipment, or delivery operations."
5,PASSENGER_VAN,Passenger Van,"Van configured primarily to transport passengers."
6,BOX_TRUCK,Box Truck,"Straight truck with enclosed cargo box body used in commercial operations."
7,TRACTOR,Truck Tractor,"Power unit designed to pull trailers in commercial transport operations."
8,TRAILER,Trailer,"Non-powered vehicle unit pulled by another vehicle."
9,MOTORCYCLE,Motorcycle,"Two- or three-wheeled motor vehicle used for personal transportation."
10,ELECTRIC_VEHICLE,Electric Vehicle,"Battery-electric vehicle requiring consideration of charging, battery, and technology repair exposure."
11,HYBRID_VEHICLE,Hybrid Vehicle,"Vehicle powered by both internal combustion and electric propulsion systems."
12,MOBILE_EQUIPMENT,Mobile Equipment,"Off-road or specialty vehicle equipment used for business or contractor operations."
