SupplierID,SupplierCode,SupplierName,SupplierType,CountryName,PreferredSupplier,Active
SUP-ACME,S1001,Acme Supply Co,Manufacturer,United States,true,true
SUP-GLOBAL,S1002,Global Parts Network,Distributor,Germany,true,true
SUP-ORIENT,S1003,Oriental Components,Manufacturer,China,true,true
SUP-PRECISION,S1004,Precision Materials,Manufacturer,United States,false,true
SUP-ECO,S1005,EcoPack Partners,Manufacturer,India,true,true
SUP-MEDLINE,S1006,MedLine Devices,Manufacturer,United Kingdom,true,true
SUP-RAPID,S1007,Rapid Logistics Supply,Distributor,Mexico,false,true
SUP-OMEGA,S1008,Omega Controls,Manufacturer,Germany,true,true
SUP-BLUE,S1009,Blue River Materials,Distributor,United States,false,true
SUP-UNITY,S1010,Unity Industrial Services,Service,India,true,true
SUP-NORTH,S1011,Northstar Plastics,Manufacturer,United States,true,true
SUP-ALPINE,S1012,Alpine Fabrication,Manufacturer,Germany,false,true
