twin_id,machine,model_version,start_date,simulation_capabilities,data_sources_linked,digital_twin_status
DT-001,1,v2.3.3-build398,01-01-2023,Pressure Dynamics,IoT Sensors,1
DT-002,2,v2.5.11-build403,02-01-2023,Gas Flow Dynamics,PLCs Network,1
DT-003,3,v1.1.4-build362,03-01-2023,Spindle Dynamics,MES Integration,2
DT-004,4,v3.0.3-build173,04-01-2023,Weld Quality,IoT Sensors,1
DT-005,5,v4.6.0-build181,05-01-2023,Quality Check,Vision System,1
DT-006,6,v1.2.4-build812,06-01-2023,Surface Finish,SCADA System,2
DT-007,7,v1.1.12-build292,07-01-2023,Pressure Dynamics,MES Integration,1
DT-008,8,v2.6.7-build755,08-01-2023,Data Analytics,SCADA System,1
DT-009,9,v2.3.14-build366,09-01-2023,Sealing Quality,MES Integration,2
DT-010,10,v2.6.3-build847,10-01-2023,Weld Quality,IoT Sensors,1
DT-011,11,v2.2.4-build511,11-01-2023,Cutting Dynamics,SCADA System,1
DT-012,12,v1.0.14-build641,12-01-2023,Cutting Dynamics,Vision System,2
DT-013,13,v2.7.10-build135,01-01-2024,Tool Wear,ERP Connector,1
DT-014,14,v2.1.15-build195,02-01-2024,Speed Optimization,IoT Sensors,1
DT-015,15,v4.2.14-build761,03-01-2024,Sealing Quality,ERP Connector,2
DT-016,16,v3.0.3-build385,04-01-2024,Drilling Precision,MES Integration,1
DT-017,17,v4.3.11-build129,05-01-2024,Thermal Analysis,IoT Sensors,1
DT-018,18,v4.5.9-build593,06-01-2024,Path Optimization,MES Integration,2
DT-019,19,v1.1.9-build383,07-01-2024,Tool Wear Prediction,Vision System,1
DT-020,20,v4.7.9-build309,08-01-2024,Pneumatic Control,MES Integration,1
DT-021,21,v3.9.11-build988,09-01-2024,Speed Optimization,Vision System,2
DT-022,22,v4.5.12-build564,10-01-2024,Image Processing,SCADA System,1
DT-023,23,v2.8.2-build976,11-01-2024,Tool Wear Prediction,Vision System,1
DT-024,24,v1.9.0-build488,12-01-2024,Surface Quality,Vision System,2
DT-025,25,v3.6.10-build733,01-01-2024,Package Integrity,ERP Connector,1
