RoofTypeID,RoofTypeCode,RoofTypeName,Description
1,ASPHALT_SHINGLE,Asphalt Shingle,"Common composition shingle roof used on residential and light commercial properties."
2,ARCHITECTURAL_SHINGLE,Architectural Shingle,"Dimensional asphalt shingle roof with heavier construction and improved durability."
3,METAL,Metal Roof,"Roof system constructed from standing seam, corrugated, or panelized metal materials."
4,CLAY_TILE,Clay Tile,"Tile roof constructed from fired clay, commonly used in warmer or coastal regions."
5,CONCRETE_TILE,Concrete Tile,"Tile roof constructed from molded concrete with durable weather-resistant properties."
6,SLATE,Slate Roof,"Natural slate roof system with long service life and higher replacement cost."
7,WOOD_SHAKE,Wood Shake,"Roof covering made from split wood shakes or shingles."
8,BUILT_UP,Built-Up Roof,"Low-slope roof using layered bitumen and reinforcing fabrics."
9,MODIFIED_BITUMEN,Modified Bitumen,"Low-slope roof membrane using modified asphalt sheets or rolls."
10,SINGLE_PLY,Single-Ply Membrane,"Low-slope roof membrane such as TPO, PVC, or EPDM."
11,TAR_GRAVEL,Tar and Gravel,"Traditional flat roof system using hot tar and gravel surfacing."
12,GREEN_ROOF,Green Roof,"Roof system with vegetation or planted covering above waterproofing layers."
13,SOLAR_INTEGRATED,Solar Integrated Roof,"Roof system incorporating solar panels or solar roof tiles into the covering."
14,OTHER,Other Roof,"Roof type is known but does not fit the standard classified roof categories."
