RegionID,RegionName,RegionDescription,RegionCode
1,North America,United States Canada Mexico.,R001
2,Latin America ,Central and South American countries,R002
3,Europe,Western Central and Eastern European countries.,R003
4,Middle East,Middle East,R004
5,Africa,Sub-Saharan and North African countries.,R005
6,Asia-Pacific,East Asia South Asia Southeast Asia Oceania.,R006
7,South Asia,India Pakistan Bangladesh Sri Lanka Nepal.,R007
8,East Asia,China Japan Korea Mongolia Taiwan.,R008
9,Southeast Asia,ASEAN countries (Thailand Vietnam  Indonesia etc.).,R009
10,Oceania,Australia New Zealand Pacific Islands.,R010
