EntityStructure,Description
Aktiebolag,A public limited company under German or Swiss law.
Aktiengesellschaft AG,A public limited company under German or Swiss law.
Asociacion en Participacion,A legally recognized form of organization used to conduct business or manage assets.
Australian Proprietary Company,A privately held company with restricted share transfer.
Australian Public Company,A company whose shares may be offered to the public.
B.V.,A private limited company  or in Dutch a besloten vennootschap bv is a business structure with legal personality.
BVI Business Company,A private limited liability company under Dutch law.
Besloten Vennootschap,A private limited liability company under Dutch law.
C corp.,A C corporation or C-corp is a legal structure for a corporation in which the owners or shareholders are taxed separately from the entity.
Cell,A legally recognized form of organization used to conduct business or manage assets.
Company limited Foreign enterprise,A company structure where the owners' liability is limited to their investment.
Company limited by shares,A company structure where the owners' liability is limited to their investment.
Corporation,"A legal entity that is separate from its owners, providing limited liability to shareholders."
DAC - Designated activity company limited by shares,A company structure where the owners' liability is limited to their investment.
Designated Activity Company Limited by Shares,A company structure where the owners' liability is limited to their investment.
Exempted Company with Limited Liability,A company structure where the owners' liability is limited to their investment.
Exempted Company with Unlimited Liability,A company structure where the owners' liability is limited to their investment.
Exempted Limited Partnership,A company structure where the owners' liability is limited to their investment.
Exempted Trust,A legal arrangement where assets are held by one party for the benefit of another.
FIP,Fundo de Investimento em Participações FIP
GmbH,GmbH is a German abbreviation for Gesellschaft mit beschränkter Haftung
Investment Limited Partnership,A company structure where the owners' liability is limited to their investment.
Irish Collective Asset-Management Vehicle,A public limited company under German or Swiss law.
Joint Stock Company,A legally recognized form of organization used to conduct business or manage assets.
Joint Stock Corporation,"A legal entity that is separate from its owners, providing limited liability to shareholders."
LLC,A limited liability company LLC is a business structure in the U.S. that protects its owners from personal responsibility for its debts or liabilities.
LP,A limited partnership LP is a form of partnership similar to a general partnership except that while a general partnership must have at least two general partners GPs a limited partnership must have at least one GP and at least one limited partner.
Limited Company,A company structure where the owners' liability is limited to their investment.
Limited Liability Partnership,A company structure where the owners' liability is limited to their investment.
Private Company,A privately held company with restricted share transfer.
Private Company limited by guarantee with a share capital,A company structure where the owners' liability is limited to their investment.
Private Corporation,"A legal entity that is separate from its owners, providing limited liability to shareholders."
Private Limited Company,A company structure where the owners' liability is limited to their investment.
Private Limited Liability Company,A company structure where the owners' liability is limited to their investment.
Private company limited by shares,A company structure where the owners' liability is limited to their investment.
Private unlimited company with share capital,A company structure where the owners' liability is limited to their investment.
Protected Cell Company,A legally recognized form of organization used to conduct business or manage assets.
Public Company,A company whose shares may be offered to the public.
Public limited company,A company structure where the owners' liability is limited to their investment.
S.A.S.,A legally recognized form of organization used to conduct business or manage assets.
SA,The abbreviation S.A. designates a type of limited company in certain countries most of which have a Romance language as their official language and employ civil law.
SARL,"A société à responsabilité limitée SARL and similar literally ""society with limited responsibility"" is a form of private company that exists mainly in French-speaking countries. The primary purpose of a SARL is to conduct commercial activity."
SCA SICAV-RAIF,A legally recognized form of organization used to conduct business or manage assets.
SCSp,The special limited partnership SCSp is a relatively new entity. It operates similarly to a limited partnership. The SCSp which was inspired by the limited partnership and is not yet widespread in Luxembourg  serves as an additional investment vehicle suited to investment funds.
SCSp SICAV-RAIF  ,A legally recognized form of organization used to conduct business or manage assets.
Securitisation Fund,A public limited company commonly used in civil law countries.
Segregated Portfolio Company,A legally recognized form of organization used to conduct business or manage assets.
Trust,A legal arrangement where assets are held by one party for the benefit of another.
U.A Cooperative Association,An organization formed by a group of individuals for a specific purpose.
Unit Trust,A legal arrangement where assets are held by one party for the benefit of another.
Unlimited Liability Company,A company structure where the owners' liability is limited to their investment.
Unlimited Liability Corporation,"A legal entity that is separate from its owners, providing limited liability to shareholders."
WFOE Commercial Limited by Registered Capital,A company structure where the owners' liability is limited to their investment.
