VehicleModelID,ModelCode,ModelName,Description,FID_Make
1,FORD_F150,F-150,"Full-size pickup commonly scheduled for personal, contractor, and light commercial use.",1
2,FORD_TRANSIT,Transit,"Commercial van used for delivery, service, passenger, and fleet operations.",1
3,CHEV_SILVERADO,Silverado,"Full-size pickup used across personal, trade, and commercial fleet policies.",2
4,CHEV_EXPRESS,Express,"Full-size van used for cargo, passenger transport, and commercial service operations.",2
5,TOYOTA_CAMRY,Camry,"Midsize passenger sedan commonly insured in personal auto portfolios.",3
6,TOYOTA_RAV4,RAV4,"Compact sport utility vehicle with common personal and small business usage.",3
7,HONDA_ACCORD,Accord,"Midsize passenger sedan used in standard personal auto policies.",4
8,HONDA_CRV,CR-V,"Compact sport utility vehicle used for personal and light business driving.",4
9,NISSAN_ALTIMA,Altima,"Midsize passenger sedan commonly used for personal auto exposure.",5
10,NISSAN_NV200,NV200,"Compact cargo van used for delivery, service, and urban commercial operations.",5
11,RAM_1500,1500,"Light-duty pickup used for personal, contractor, and fleet applications.",6
12,RAM_PROMASTER,ProMaster,"Commercial cargo van used for delivery, trades, and service fleets.",6
13,GMC_SIERRA,Sierra,"Full-size pickup used in personal and commercial auto schedules.",7
14,GMC_SAVANA,Savana,"Full-size van used for cargo, passenger, and business fleet operations.",7
15,JEEP_WRANGLER,Wrangler,"Sport utility vehicle with off-road capability and personal auto exposure.",8
16,JEEP_GRAND_CHEROKEE,Grand Cherokee,"Midsize sport utility vehicle used in personal auto and family policies.",8
17,SUBARU_OUTBACK,Outback,"Crossover wagon commonly insured for personal auto use.",9
18,SUBARU_FORESTER,Forester,"Compact sport utility vehicle used for personal auto exposure.",9
19,BMW_3_SERIES,3 Series,"Luxury compact sedan or coupe scheduled for personal auto coverage.",10
20,BMW_X5,X5,"Luxury sport utility vehicle with higher insured value and repair-cost exposure.",10
21,MB_C_CLASS,C-Class,"Luxury sedan commonly scheduled for personal auto coverage.",11
22,MB_SPRINTER,Sprinter,"Commercial van used for delivery, shuttle, cargo, and specialty business operations.",11
23,TESLA_MODEL3,Model 3,"Battery-electric sedan with advanced driver-assistance and higher technology repair exposure.",12
24,TESLA_MODELY,Model Y,"Battery-electric crossover with advanced safety systems and technology repair exposure.",12
