VehicleTrimID,TrimCode,TrimName,Description,FID_Model
1,FORD_F150_XL,XL,"Base work-oriented trim for the Ford F-150 pickup.",1
2,FORD_F150_LARIAT,Lariat,"Mid-to-upper trim for the Ford F-150 with expanded comfort and technology features.",1
3,FORD_TRANSIT_BASE,Base Cargo Van,"Cargo-oriented Ford Transit trim used for commercial operations.",2
4,FORD_TRANSIT_XLT,XLT Passenger Van,"Passenger-oriented Ford Transit trim used for shuttle or transport operations.",2
5,CHEV_SILVERADO_WT,Work Truck,"Work-oriented Chevrolet Silverado trim commonly used in contractor fleets.",3
6,CHEV_SILVERADO_LT,LT,"Chevrolet Silverado trim with upgraded comfort and convenience equipment.",3
7,CHEV_EXPRESS_CARGO,Cargo Van,"Cargo-oriented Chevrolet Express configuration for service and delivery operations.",4
8,CHEV_EXPRESS_PASSENGER,Passenger Van,"Passenger-oriented Chevrolet Express configuration for group transport.",4
9,TOYOTA_CAMRY_LE,LE,"Standard Toyota Camry trim used in personal auto policies.",5
10,TOYOTA_CAMRY_XSE,XSE,"Sport-oriented Toyota Camry trim with upgraded appearance and features.",5
11,TOYOTA_RAV4_LE,LE,"Standard Toyota RAV4 trim with core safety and comfort features.",6
12,TOYOTA_RAV4_XLE,XLE,"Toyota RAV4 trim with enhanced convenience and driver-assistance features.",6
13,HONDA_ACCORD_LX,LX,"Standard Honda Accord trim used for common personal auto exposure.",7
14,HONDA_ACCORD_TOURING,Touring,"Higher-feature Honda Accord trim with advanced comfort and technology options.",7
15,HONDA_CRV_LX,LX,"Standard Honda CR-V trim with core utility and safety features.",8
16,HONDA_CRV_EXL,EX-L,"Honda CR-V trim with upgraded interior, technology, and comfort features.",8
17,NISSAN_ALTIMA_S,S,"Base Nissan Altima trim used in personal auto schedules.",9
18,NISSAN_ALTIMA_SL,SL,"Nissan Altima trim with enhanced comfort, safety, and technology equipment.",9
19,NISSAN_NV200_S,S Cargo Van,"Compact Nissan NV200 cargo trim for urban delivery or service operations.",10
20,NISSAN_NV200_SV,SV Cargo Van,"Nissan NV200 trim with additional convenience features for commercial use.",10
21,RAM_1500_TRADESMAN,Tradesman,"Work-oriented Ram 1500 trim commonly used in contractor or fleet exposure.",11
22,RAM_1500_LARAMIE,Laramie,"Ram 1500 trim with upgraded interior, technology, and towing features.",11
23,RAM_PROMASTER_LOW,Low Roof Cargo Van,"Ram ProMaster cargo configuration with lower roof height.",12
24,RAM_PROMASTER_HIGH,High Roof Cargo Van,"Ram ProMaster cargo configuration with high roof and increased cargo volume.",12
25,GMC_SIERRA_PRO,Pro,"Work-oriented GMC Sierra trim for commercial and fleet use.",13
26,GMC_SIERRA_SLT,SLT,"GMC Sierra trim with upgraded comfort, towing, and technology features.",13
27,GMC_SAVANA_CARGO,Cargo Van,"Cargo-oriented GMC Savana trim for service and delivery fleets.",14
28,GMC_SAVANA_PASSENGER,Passenger Van,"Passenger-oriented GMC Savana trim used for transport operations.",14
29,JEEP_WRANGLER_SPORT,Sport,"Base Jeep Wrangler trim with core off-road and utility features.",15
30,JEEP_WRANGLER_RUBICON,Rubicon,"Jeep Wrangler trim with enhanced off-road capability and specialized equipment.",15
31,JEEP_GC_LAREDO,Laredo,"Entry Jeep Grand Cherokee trim used for personal auto coverage.",16
32,JEEP_GC_LIMITED,Limited,"Jeep Grand Cherokee trim with upgraded comfort and safety equipment.",16
33,SUBARU_OUTBACK_BASE,Base,"Standard Subaru Outback trim used for common personal auto exposure.",17
34,SUBARU_OUTBACK_LIMITED,Limited,"Subaru Outback trim with upgraded interior, safety, and driver assistance features.",17
35,SUBARU_FORESTER_BASE,Base,"Standard Subaru Forester trim with core crossover utility features.",18
36,SUBARU_FORESTER_PREMIUM,Premium,"Subaru Forester trim with added comfort and convenience equipment.",18
37,BMW_3_SERIES_330I,330i,"BMW 3 Series trim with luxury sedan features and higher repair-cost exposure.",19
38,BMW_3_SERIES_M340I,M340i,"Performance-oriented BMW 3 Series trim with increased power and value exposure.",19
39,BMW_X5_XDRIVE40I,xDrive40i,"BMW X5 trim with all-wheel drive and luxury SUV equipment.",20
40,BMW_X5_M60I,M60i,"Performance-oriented BMW X5 trim with higher value and repair-cost exposure.",20
41,MB_C_CLASS_C300,C 300,"Mercedes-Benz C-Class trim with luxury sedan equipment.",21
42,MB_C_CLASS_AMG_C43,AMG C 43,"Performance-oriented Mercedes-Benz C-Class trim with higher value exposure.",21
43,MB_SPRINTER_CARGO,Cargo Van,"Mercedes-Benz Sprinter cargo configuration for delivery and service operations.",22
44,MB_SPRINTER_CREW,Crew Van,"Mercedes-Benz Sprinter configuration for mixed passenger and cargo usage.",22
45,TESLA_MODEL3_RWD,Rear-Wheel Drive,"Tesla Model 3 base electric sedan trim with advanced driver-assistance features.",23
46,TESLA_MODEL3_PERF,Performance,"Performance-oriented Tesla Model 3 trim with higher value and acceleration exposure.",23
47,TESLA_MODELY_LONG_RANGE,Long Range,"Tesla Model Y crossover trim with extended driving range.",24
48,TESLA_MODELY_PERF,Performance,"Performance-oriented Tesla Model Y trim with higher value and acceleration exposure.",24
