schedule_id,machine,maintenance_type,scheduled_date,performed_date,maintenance_provider,maintenance_cost,description_of_work
SCH-001,1,1,01-10-2024,01-11-2024,ACME,1322,Hydraulic fluid level check and pressure calibration
SCH-002,2,2,02-10-2024,02-11-2024,XYZ,2077,Power module diagnostics and arc stability check
SCH-003,3,3,03-10-2024,03-11-2024,ACME,310,Motor vibration analysis and drilling accuracy test
SCH-004,4,1,04-10-2024,04-11-2024,XYZ,8531,Torch tip cleaning and wire feed calibration
SCH-005,5,2,05-10-2024,05-11-2024,ACME,346,Conveyor belt alignment and sensor calibration
SCH-006,6,3,06-10-2024,06-11-2024,XYZ,717,Surface finish quality test and dimensional accuracy check
SCH-007,7,1,07-10-2024,07-11-2024,ACME,3945,Hydraulic fluid level check and pressure calibration
SCH-008,8,2,08-10-2024,08-11-2024,XYZ,230,Measurement accuracy verification and software update
SCH-009,9,3,09-10-2024,09-11-2024,ACME,2553,Barcode scanner alignment and packaging material inspection
SCH-010,10,1,10-10-2024,10-11-2024,XYZ,1486,Torch tip cleaning and wire feed calibration
SCH-011,11,2,11-10-2024,11-11-2024,ACME,1013,Spindle bearing inspection and cutting tool wear check
SCH-012,12,3,12-10-2024,12-11-2024,XYZ,924,Dimensional accuracy test and surface finish verification
SCH-013,13,1,13-10-2024,13-11-2024,ACME,1894,Spindle speed calibration and tool holder inspection
SCH-014,14,2,14-10-2024,14-11-2024,XYZ,357,Conveyor speed adjustment and package weight verification
SCH-015,15,3,15-10-2024,15-11-2024,ACME,367,Barcode scanner alignment and packaging material inspection
SCH-016,16,1,16-10-2024,16-11-2024,XYZ,255,Chuck runout check and belt tension adjustment
SCH-017,17,2,17-10-2024,17-11-2024,ACME,500,Power module diagnostics and arc stability check
SCH-018,18,3,18-10-2024,18-11-2024,XYZ,1071,Gas flow system check and arc quality assessment
SCH-019,19,1,19-10-2024,19-11-2024,ACME,248,Chuck runout check and belt tension adjustment
SCH-020,20,2,20-10-2024,20-11-2024,XYZ,435,Conveyor belt alignment and sensor calibration
SCH-021,21,3,21-10-2024,21-11-2024,ACME,255,Barcode scanner alignment and packaging material inspection
SCH-022,22,1,22-10-2024,22-11-2024,XYZ,218,Camera calibration and lighting system check
SCH-023,23,2,23-10-2024,23-11-2024,ACME,291,Spindle bearing lubrication and depth stop calibration
SCH-024,24,3,24-10-2024,24-11-2024,XYZ,1253,Program verification and cutting parameter optimization
