machine_id,serial_number,type_model,manufacturer,year_of_manufacture,installation_date,machine_status,production_line,power_rating,maintenance_frequency,last_maintenance_date,next_scheduled_maintenance,warranty_expiry_date,asset_value,criticality_level,compliance_certifications,location_description,location_gps_coordinates,location_floor_zone,location_accessibility_level,location_environmental_conditions
1,UVFZX6LIYKJ9,Hydraulic-Press-H800,ACME,2019,01-03-2019,1,1,10.5,Monthly,12-10-2024,12-01-2025,01-03-2026,70158,1,ISO9001,Main plant - Center - Press Station,"40.75,-73.9353",Ground Floor,Restricted,"Temp 22C, Humidity 40%"
2,R3CFDH5SLDPE,Plasma-Cutter-P150,ACME,2020,01-04-2020,1,2,12.0,Quarterly,07-10-2024,07-01-2025,01-04-2025,44599,2,ISO14001,Main plant - Left - Cutting Station,"40.7414,-73.9471",Floor 2,Unrestricted,"Temp 21C, Humidity 42%"
3,DQJ60K4PDT,Drill-Press-X200,XYZ,2021,01-05-2021,2,3,9.8,Monthly,30-10-2024,30-01-2025,01-05-2026,36075,3,ISO45001,Main plant - Left secondary Zone - Drilling Station,"40.7484,-73.9338",Floor 3,Restricted,"Temp 23C, Humidity 39%"
4,M803L4P6B561,Welding-Robot-W500,XYZ,2022,01-06-2022,1,4,11.2,Yearly,25-06-2024,25-06-2025,01-06-2027,105331,1,ISO9001,Main plant - Right - Welding Bay,"40.7541,-73.9524",Floor 3,Unrestricted,"Temp 22C, Humidity 41%"
5,G4R3IJRCK6FFI,Assembly-Station-A300,ACME,2023,01-07-2023,1,5,13.0,Monthly,11-10-2024,11-01-2025,01-07-2027,59266,2,ISO14001,Main plant - Right secondary Zone - Assembly Point,"40.7402,-73.9301",Mezzanine,Restricted,"Temp 21C, Humidity 43%"
6,MQIN3T4TI7DRJP7,Grinding-Master-400,ACME,2020,01-08-2020,1,6,10.0,Monthly,24-07-2024,24-01-2025,01-08-2025,46044,1,ISO9001,Main plant - Right Zone - Grinding Station,"48.199,11.6215",Ground Floor,Unrestricted,"Temp 20C, Humidity 38%"
7,C9HM3KHGEIK8YAT,Hydraulic-Press-H800,XYZ,2021,01-09-2021,2,7,12.5,Quarterly,20-06-2024,20-03-2025,01-09-2025,89851,2,ISO14001,Main plant - Right secondary Zone - Press Station,"48.2148,11.6238",Floor 2,Restricted,"Temp 19C, Humidity 37%"
8,EPTM8U2FVS95IV,Quality-Scanner-Q100,XYZ,2022,01-10-2022,1,8,9.0,Monthly,15-09-2024,15-01-2025,01-10-2026,34947,3,ISO45001,Main plant - Right secondary Zone - QC Checkpoint,"48.2026,11.6149",Ground Floor,Unrestricted,"Temp 21C, Humidity 39%"
9,VR1NFSXOFU4PC,Packaging-Unit-PK250,ACME,2023,01-11-2023,1,9,11.8,Yearly,25-09-2024,25-09-2025,01-11-2026,34197,1,ISO9001,Main plant - Left secondary Zone - Packaging Area,"48.2073,11.6273",Mezzanine,Restricted,"Temp 20C, Humidity 40%"
10,JUVXP572A7Z,Welding-Robot-W500,ACME,2020,01-12-2020,1,10,13.2,Monthly,27-09-2024,27-01-2025,01-12-2024,88408,2,ISO14001,Main plant - Left - Welding Bay,"48.2056,11.6385",Floor 2,Unrestricted,"Temp 22C, Humidity 41%"
