DivisionID,Name,Description,FDN_Region
1,Corporate Services,Strategy legal compliance and corporate affairs.,1
2,Finance Division,Accounting treasury tax financial planning.,1
3,Human Resources,HR operations recruitment payroll training.,1
4,Sales Division,Sales operations regional sales teams partnerships.,2
5,Marketing Division,Branding campaigns digital marketing market research.,2
6,Operations Division,Day-to-day business operations administration.,2
7,Supply Chain Division,Procurement logistics warehousing distribution.,2
8,Manufacturing Division,Production quality control plant operations.,10
9,Technology Division,IT data infrastructure software development.,10
10,Research & Development,Innovation product design testing labs.,10
11,Customer Service,Contact centers support teams service management.,10
12,Regional Division,Oversees business by region (e.g. Europe Asia-Pacific).,10
