Domainid,Name,Label,Description,FDN_Company
1,Finance,Finance,"Manages accounting, treasury, tax, and financial planning.",7
2,Human Resources,Human Resources,"Employee lifecycle, payroll, training, and development.",7
3,Sales,Sales,"Sales operations, customer accounts, revenue generation.",7
4,Marketing,Marketing,"Market research, campaigns, brand, and customer engagement.",7
5,Supply Chain,Supply Chain,"Procurement, logistics, inventory, and distribution.",7
6,Procurement,Procurement,"Vendor management, contracts, purchasing.",7
7,Manufacturing,Manufacturing,"Production planning, operations, and quality control.",7
8,Customer Service,Customer Service,"Customer support, service requests, call center.",7
9,IT & Technology,IT & Technology,"Infrastructure, applications, data management, cybersecurity.",7
10,Legal & Compliance,Legal & Compliance,"Contracts, risk, regulatory compliance, governance.",7
11,Research & Development (R&D),Research & Development (R&D),"Innovation, product design, testing.",7
12,Real Estate & Facilities,Real Estate & Facilities,"Property management, workplace services.",7
13,Strategy & Corporate Affairs,Strategy & Corporate Affairs,"Corporate planning, investor relations, communications.",7
