"PublisherID","SourceID","ProductID","ProductName","ProductDescription","NormalizedProductName","ProductFamily","ProductLine","GTIN","ManufacturerPartNumber","EffectiveFrom","EffectiveTo","GlobalQualityScore","IsHazardous","IsProcurementRelevant","IsSellable","FID_Brand","FID_ProductHierarchy","FID_LifecycleStatus","FID_ProductStatus","FID_ProductType"
"SAPMDG","PRD-000001","PRD-000001","Wireless Headphones Series 02","Wireless Headphones Series 02 for premium audio use cases","WIRELESS HEADPHONES SERIES 02","Audio","Premium Audio","10000000000001","MPN-AUD-00001","2024-01-02","2028-12-31","87","false","true","true","BRD-ACME","H-HEADPHONES","LCS-NEW","PSTAT-DESIGN","PTYPE-FG"
"SAPMDG","PRD-000002","PRD-000002","Industrial Sensor Series 03","Industrial Sensor Series 03 for factory automation use cases","INDUSTRIAL SENSOR SERIES 03","Industrial","Factory Automation","10000000000002","MPN-IND-00002","2024-01-03","2028-12-31","88","false","true","true","BRD-NOVA","H-ELEC","LCS-ACTIVE","PSTAT-ACTIVE","PTYPE-ASSEMBLY"
"SAPMDG","PRD-000003","PRD-000003","Laptop Docking Station Series 04","Laptop Docking Station Series 04 for workplace accessories use cases","LAPTOP DOCKING STATION SERIES 04","Computing","Workplace Accessories","10000000000003","MPN-COM-00003","2024-01-04","2028-12-31","89","false","true","true","BRD-ECO","H-LAPTOPS","LCS-ACTIVE","PSTAT-ACTIVE","PTYPE-FG"
"SAPMDG","PRD-000004","PRD-000004","Smart Air Purifier Series 05","Smart Air Purifier Series 05 for climate use cases","SMART AIR PURIFIER SERIES 05","Home Appliances","Climate","10000000000004","MPN-HOM-00004","2024-01-05","2028-12-31","90","false","true","true","BRD-APEX","H-HOME","LCS-ACTIVE","PSTAT-ACTIVE","PTYPE-FG"
"SAPMDG","PRD-000005","PRD-000005","Sterile Procedure Kit Series 06","Sterile Procedure Kit Series 06 for clinical kits use cases","STERILE PROCEDURE KIT SERIES 06","Medical","Clinical Kits","10000000000005","MPN-MED-00005","2024-01-06","2028-12-31","91","false","true","true","BRD-ORBIT","H-MED","LCS-PHASEOUT","PSTAT-PHASEOUT","PTYPE-KIT"
"SAPMDG","PRD-000006","PRD-000006","Plant Maintenance Filter Series 07","Plant Maintenance Filter Series 07 for maintenance use cases","PLANT MAINTENANCE FILTER SERIES 07","Industrial","Maintenance","10000000000006","MPN-IND-00006","2024-01-07","2028-12-31","92","false","true","false","BRD-HELIX","H-CONS","LCS-NEW","PSTAT-DESIGN","PTYPE-CONSUMABLE"
"SAPMDG","PRD-000007","PRD-000007","EV Battery Module Series 08","EV Battery Module Series 08 for electrification use cases","EV BATTERY MODULE SERIES 08","Automotive","Electrification","10000000000007","MPN-AUT-00007","2024-01-08","2028-12-31","93","true","true","true","BRD-VITA","H-AUTO","LCS-ACTIVE","PSTAT-ACTIVE","PTYPE-ASSEMBLY"
"SAPMDG","PRD-000008","PRD-000008","Recyclable Shipping Case Series 09","Recyclable Shipping Case Series 09 for sustainable packaging use cases","RECYCLABLE SHIPPING CASE SERIES 09","Packaging","Sustainable Packaging","10000000000008","MPN-PAC-00008","2024-01-09","2028-12-31","94","false","true","true","BRD-QUANT","H-PACK","LCS-ACTIVE","PSTAT-ACTIVE","PTYPE-FG"
"SAPMDG","PRD-000009","PRD-000009","Wireless Headphones Series 01","Wireless Headphones Series 01 for premium audio use cases","WIRELESS HEADPHONES SERIES 01","Audio","Premium Audio","10000000000009","MPN-AUD-00009","2024-01-10","2028-12-31","95","false","true","true","BRD-ACME","H-HEADPHONES","LCS-ACTIVE","PSTAT-ACTIVE","PTYPE-FG"
"SAPMDG","PRD-000010","PRD-000010","Industrial Sensor Series 02","Industrial Sensor Series 02 for factory automation use cases","INDUSTRIAL SENSOR SERIES 02","Industrial","Factory Automation","10000000000010","MPN-IND-00010","2024-01-11","2028-12-31","96","false","true","true","BRD-NOVA","H-ELEC","LCS-PHASEOUT","PSTAT-PHASEOUT","PTYPE-ASSEMBLY"
