production_line_id,name,code,factory,line_type,capacity,production_line_status,start_date,end_date,location_description,location_gps_coordinates,location_floor_zone,location_accessibility_level,location_environmental_conditions
1,Line 1-PL-A,PL-A,1,1,100,1,01-01-2020,,Main plant - Center,"40.7128,-74.0060",Zone 1,Restricted,Temp 22C- Humidity 40%
2,Line 1-PL-B,PL-B,1,2,120,1,01-01-2020,,Maint plant - Left,"40.7138,-74.0070",Zone 2,Unrestricted,Temp 21C- Humidity 42%
3,Line 1-PL-C,PL-C,1,3,110,2,01-01-2020,,Maint plant - Left secondary Zone,"40.7148,-74.0080",Zone 3,Restricted,Temp 23C- Humidity 39%
4,Line 1-PL-D,PL-D,1,4,130,1,01-01-2020,,Main plant - Right,"40.7158,-74.0090",Zone 4,Unrestricted,Temp 22C- Humidity 41%
5,Line 1-PL-E,PL-E,1,5,140,1,01-01-2020,,Main plant - Right secondary Zone,"40.7168,-74.0100",Zone 5,Restricted,Temp 21C- Humidity 43%
6,Line 2-PL-F,PL-F,2,2,90,1,01-01-2021,,Maint plant - Right Zone,"48.1351,11.5820",Zone 2,Unrestricted,Temp 20C- Humidity 38%
7,Line 2-PL-G,PL-G,2,1,95,1,01-01-2021,,Maint plant - Right secondary Zone,"48.1361,11.5830",Zone 1,Restricted,Temp 19C- Humidity 37%
8,Line 2-PL-H,PL-H,2,3,105,1,01-01-2021,,Maint plant - Right secondary Zone,"48.1371,11.5840",Zone 3,Unrestricted,Temp 21C- Humidity 39%
9,Line 2-PL-I,PL-I,2,4,115,1,01-01-2021,,Maint plant - Left secondary Zone,"48.1381,11.5850",Zone 4,Restricted,Temp 20C- Humidity 40%
10,Line 2-PL-J,PL-J,2,5,125,1,01-01-2021,,Maint plant - Left,"48.1391,11.5860",Zone 5,Unrestricted,Temp 22C- Humidity 41%
11,Line 3-PL-K,PL-K,3,1,100,1,01-01-2022,,Secondary Plant - main center,"48.8584,2.2945",Zone 1,Restricted,Temp 18C- Humidity 36%
12,Line 3-PL-L,PL-L,3,2,120,1,01-01-2022,,Secondary Plant - secondary center,"48.8594,2.2955",Zone 2,Unrestricted,Temp 19C- Humidity 37%
13,Line 3-PL-M,PL-M,3,3,110,2,01-01-2022,,Secondary Plant - right zone,"48.8604,2.2965",Zone 3,Restricted,Temp 20C- Humidity 38%
14,Line 3-PL-N,PL-N,3,4,130,1,01-01-2022,,Secondary Plant - left zone,"48.8614,2.2975",Zone 4,Unrestricted,Temp 21C- Humidity 39%
15,Line 3-PL-O,PL-O,3,5,140,1,01-01-2022,,Secondary Plant - right zone,"48.8624,2.2985",Zone 5,Restricted,Temp 22C- Humidity 40%
16,Line 4-PL-P,PL-P,4,1,100,1,01-01-2023,,Main building - main center,"35.7101,139.8107",Zone 1,Unrestricted,Temp 23C- Humidity 41%
17,Line 4-PL-Q,PL-Q,4,2,120,1,01-01-2023,,Main building - Q Zone,"35.7111,139.8117",Zone 2,Restricted,Temp 24C- Humidity 42%
18,Line 4-PL-R,PL-R,4,3,110,2,01-01-2023,,Plank building - R Zone,"35.7121,139.8127",Zone 3,Unrestricted,Temp 25C- Humidity 43%
19,Line 4-PL-S,PL-S,4,4,130,1,01-01-2023,,Plank building - S Zone,"35.7131,139.8137",Zone 4,Restricted,Temp 23C- Humidity 41%
20,Line 4-PL-T,PL-T,4,5,140,1,01-01-2023,,Plank building - T Zone,"35.7141,139.8147",Zone 5,Unrestricted,Temp 22C- Humidity 40%
21,Line 5-PL-U,PL-U,5,1,100,1,01-01-2024,,Main plant - U Zone,"31.2304,121.4737",Zone 1,Restricted,Temp 21C- Humidity 39%
22,Line 5-PL-V,PL-V,5,2,120,1,01-01-2024,,Main plant - V Zone,"31.2314,121.4747",Zone 2,Unrestricted,Temp 20C- Humidity 38%
23,Line 5-PL-W,PL-W,5,3,110,2,01-01-2024,,Main plant - W Zone,"31.2324,121.4757",Zone 3,Restricted,Temp 19C- Humidity 37%
24,Line 5-PL-X,PL-X,5,4,130,1,01-01-2024,,Main plant - X Zone,"31.2334,121.4767",Zone 4,Unrestricted,Temp 18C- Humidity 36%
25,Line 5-PL-Y,PL-Y,5,5,140,1,01-01-2024,,Main plant - Y Zone,"31.2344,121.4777",Zone 5,Restricted,Temp 17C- Humidity 35%
