InclusionExclusionID,Type,Title,Description,RuleText,JurisdictionState,EffectiveFrom,EffectiveTo,FID_LineOfBusiness
1,INCLUSION,Hired Auto Liability,"Extends liability coverage to autos leased, hired, rented, or borrowed for business use.","Coverage applies when a covered auto is hired or rented for business operations, subject to policy limits and terms.",ALL,"Jan 01, 2020",,LOB001
2,INCLUSION,Non-Owned Auto Liability,"Extends liability protection to employee-owned or third-party vehicles used for company business.","Coverage applies to non-owned autos used in the course of business, provided the vehicle is not regularly furnished to the insured.",ALL,"Jan 01, 2020",,LOB001
3,INCLUSION,Temporary Substitute Auto,"Provides coverage for a temporary replacement vehicle when a covered commercial auto is out of service.","A temporary substitute auto is covered when the scheduled auto is withdrawn from normal use due to breakdown, repair, servicing, loss, or destruction.",ALL,"Jan 01, 2020",,LOB001
4,INCLUSION,Loading and Unloading Coverage,"Covers liability arising from loading or unloading property from a covered commercial vehicle.","Coverage applies to covered liability arising directly from loading or unloading operations connected to a covered auto.",ALL,"Jan 01, 2020",,LOB001
5,EXCLUSION,Racing or Speed Contest,"Excludes losses arising from racing, speed contests, stunt driving, or performance testing.","No coverage applies while a covered auto is used in any racing, demolition, speed, or stunt event.",ALL,"Jan 01, 2020",,LOB001
6,EXCLUSION,Intentional Vehicle Damage,"Excludes intentional damage caused by or at the direction of the insured.","No coverage applies to loss or damage expected or intended by the insured or any authorized representative.",ALL,"Jan 01, 2020",,LOB001
7,EXCLUSION,Unauthorized Commercial Use,"Excludes claims involving vehicle use outside permitted business operations or authorized drivers.","No coverage applies when the vehicle is operated by an unauthorized driver or used for an undisclosed commercial activity.",ALL,"Jan 01, 2020",,LOB001
8,EXCLUSION,Pollution Release,"Excludes pollution liability arising from discharge or release of pollutants from a covered vehicle.","No coverage applies to bodily injury, property damage, or cleanup cost arising from pollutant release unless specifically endorsed.",ALL,"Jan 01, 2020",,LOB001
9,INCLUSION,Business Personal Property,"Covers business contents, furniture, fixtures, equipment, inventory, and similar property at covered premises.","Business personal property is covered at scheduled premises, subject to the applicable limit, deductible, and valuation basis.",ALL,"Jan 01, 2020",,LOB002
10,INCLUSION,Debris Removal,"Covers reasonable costs to remove debris after a covered property loss.","Debris removal expense is covered when debris results from direct physical loss caused by a covered cause of loss.",ALL,"Jan 01, 2020",,LOB002
11,INCLUSION,Fire Department Service Charge,"Covers charges imposed by a fire department responding to a covered property loss.","Fire department service charges are covered when incurred because of a covered fire or emergency response at insured premises.",ALL,"Jan 01, 2020",,LOB002
12,INCLUSION,Equipment Breakdown,"Covers sudden and accidental breakdown of covered mechanical, electrical, or pressure equipment.","Coverage applies to direct physical loss caused by covered equipment breakdown, subject to exclusions and inspection requirements.",ALL,"Jan 01, 2020",,LOB002
13,EXCLUSION,Flood Damage,"Excludes loss caused by flood, surface water, waves, tidal water, overflow, or waterborne mudslide.","No coverage applies to flood or surface water damage unless a flood endorsement or separate flood policy applies.",ALL,"Jan 01, 2020",,LOB002
14,EXCLUSION,Earth Movement,"Excludes loss caused by earthquake, landslide, mine subsidence, or other earth movement.","No coverage applies to earth movement loss unless specifically endorsed for the covered premises.",CA,"Jan 01, 2020",,LOB002
15,EXCLUSION,Wear and Tear,"Excludes deterioration, corrosion, rust, latent defect, settling, cracking, and ordinary wear.","No coverage applies to loss caused by gradual deterioration, maintenance failure, or inherent vice.",ALL,"Jan 01, 2020",,LOB002
16,EXCLUSION,War and Nuclear Hazard,"Excludes loss caused by war, military action, nuclear reaction, nuclear radiation, or radioactive contamination.","No coverage applies to war or nuclear hazard loss regardless of other contributing causes.",ALL,"Jan 01, 2020",,LOB002
17,INCLUSION,Uninsured Motorist Protection,"Provides protection when an insured is injured by an uninsured or underinsured driver.","Coverage applies when a legally responsible driver lacks sufficient insurance, subject to state limits and policy terms.",ALL,"Jan 01, 2020",,LOB003
18,INCLUSION,Medical Payments,"Covers reasonable medical expenses for covered persons injured in an auto accident.","Medical payments coverage applies to eligible expenses incurred within the policy terms, regardless of fault.",ALL,"Jan 01, 2020",,LOB003
19,INCLUSION,Rental Reimbursement,"Reimburses rental vehicle costs after a covered physical damage loss to the insured auto.","Rental reimbursement applies after a covered loss, subject to daily and maximum limits shown in the policy.",ALL,"Jan 01, 2020",,LOB003
