VehicleSafetyFeatureID,FeatureCode,FeatureName,Description
1,ABS,Anti-Lock Braking System,"Prevents wheel lockup during hard braking and helps maintain steering control."
2,AEB,Automatic Emergency Braking,"Automatically applies braking to reduce or avoid a forward collision."
3,FCW,Forward Collision Warning,"Alerts the driver when the vehicle detects a potential frontal collision."
4,LDW,Lane Departure Warning,"Warns the driver when the vehicle drifts from its lane without signaling."
5,LKA,Lane Keeping Assist,"Provides steering support to help the vehicle remain within its lane."
6,BLIND_SPOT,Blind Spot Monitoring,"Alerts the driver when another vehicle is detected in a blind spot."
7,REAR_CAMERA,Rearview Camera,"Provides rear visibility when reversing to reduce backing incidents."
8,REAR_CROSS_TRAFFIC,Rear Cross Traffic Alert,"Warns of cross traffic while reversing from a parking space or driveway."
9,ADAPTIVE_CRUISE,Adaptive Cruise Control,"Maintains selected speed and following distance using onboard sensors."
10,ESC,Electronic Stability Control,"Helps maintain control during skids, sharp turns, or low-traction conditions."
11,TPMS,Tire Pressure Monitoring,"Alerts the driver when tire pressure is outside recommended thresholds."
12,AIRBAGS_ADVANCED,Advanced Airbag System,"Uses multiple airbags or sensor-based deployment logic for occupant protection."
13,TELEMATICS,Telematics Device,"Captures vehicle usage, location, or driving behavior data for risk evaluation."
14,NIGHT_VISION,Night Vision Assist,"Improves visibility of pedestrians, animals, or objects in low-light conditions."
15,PARK_ASSIST,Parking Assist,"Uses sensors or automated steering support to reduce low-speed parking damage."
16,DROWSINESS_ALERT,Driver Drowsiness Alert,"Monitors driving behavior and warns when fatigue patterns are detected."
