FDN_Industry,SubIndustryName
Automotive & Transportation,Auto Parts Manufacturing
Automotive & Transportation,Commercial Airlines
Automotive & Transportation,Fleet Management
Automotive & Transportation,Freight & Logistics
Automotive & Transportation,Public Transportation
Banking & Financial Services,Asset Management
Banking & Financial Services,Commercial Banking
Banking & Financial Services,Investment Banking
Banking & Financial Services,Mortgage Services
Banking & Financial Services,Wealth Management
Healthcare & Pharmaceuticals,Biotechnology
Healthcare & Pharmaceuticals,Clinical Research
Healthcare & Pharmaceuticals,Medical Devices
Healthcare & Pharmaceuticals,Mental Healthcare
Healthcare & Pharmaceuticals,Pharmaceutical Manufacturing
Information Technology,Cloud Computing
Information Technology,Cybersecurity
Information Technology,Data Analytics
Information Technology,Software Development
Information Technology,Telecommunications Equipment
Manufacturing & Industrial,Automation Systems
Manufacturing & Industrial,Industrial Equipment
Manufacturing & Industrial,Metalworking
Manufacturing & Industrial,Plastics Manufacturing
Manufacturing & Industrial,Textile Production
Retail & Consumer Goods,Apparel & Accessories
Retail & Consumer Goods,Electronics Retail
Retail & Consumer Goods,Home Furnishings
Retail & Consumer Goods,Luxury Goods
Retail & Consumer Goods,Specialty Stores
Energy & Utilities,Alternative Energy
Energy & Utilities,Electric Power
Energy & Utilities,Natural Gas Distribution
Energy & Utilities,Oil & Gas Exploration
Energy & Utilities,Water Utilities
Professional Services,Accounting Services
Professional Services,Business Consulting
Professional Services,Legal Services
Professional Services,Marketing & Advertising
Professional Services,Research & Development
Food & Beverage,Beverage Production
Food & Beverage,Food Distribution
Food & Beverage,Restaurant Chains
Food & Beverage,Specialty Foods
Food & Beverage,Wine & Spirits
Construction & Real Estate,Commercial Construction
Construction & Real Estate,Infrastructure Development
Construction & Real Estate,Property Management
Construction & Real Estate,Residential Construction
Construction & Real Estate,Urban Planning
