CompanyID,Name,Description,FDN_Country
1,Alpha Technologies,IT services and software,FR
2,Beta Manufacturing,Automotive parts production,FR
3,Gamma Retail Group,Consumer retail and e-commerce,FR
4,Delta Finance Corp.,Banking and financial services,FR
5,Epsilon Energy Ltd.,Renewable energy and utilities,FR
6,Zeta Healthcare,Hospitals and medical devices,US
7,Theta Logistics,Transport and supply chain,US
8,Sigma Foods,Food & beverages production,US
9,Omega Real Estate,Real estate & property mgmt,US
10,Nova Media Group,Advertising & digital media,US
