PositionID,Name,Description
1,Software Engineer,Develops and maintains software applications.
2,Data Scientist,Analyzes data to provide business insights.
3,Project Manager,Oversees project execution and delivery.
4,Business Analyst,Translates business needs into technical specs.
5,Product Owner,Defines product vision and priorities.
6,DevOps Engineer,Automates and maintains deployment pipelines.
7,UX/UI Designer,Designs user interfaces and experiences.
8,QA Tester,Ensures product quality through testing.
9,Marketing Specialist,Plans and executes marketing campaigns.
10,HR Manager,Manages recruitment and employee relations.
