CoverageID,CoverageCode,CoverageName,CoverageDescription,FID_CoverageCategory,DefaultLimitType,DefaultDeductibleType,MinimumLimitAmount,MaximumLimitAmount,DefaultLimitAmount,MinimumDeductibleAmount,MaximumDeductibleAmount,DefaultDeductibleAmount,CoinsurancePercentage,WaitingPeriodDays,AggregateLimitIndicator,OccurrenceLimitIndicator,EffectiveFrom,EffectiveTo,FID_InsurancePlan
COV001,AUTO-COMM-LIAB-STD-LIAB,Commercial Auto Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL001
COV002,AUTO-COMM-LIAB-STD-PD,Commercial Auto Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL001
COV003,AUTO-COMM-LIAB-ENH-LIAB,Commercial Auto Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL002
COV004,AUTO-COMM-LIAB-ENH-PD,Commercial Auto Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL002
COV005,AUTO-COMM-PD-STD-LIAB,Commercial Auto Physical Damage Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL003
COV006,AUTO-COMM-PD-STD-PD,Commercial Auto Physical Damage Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL003
COV007,AUTO-COMM-PD-ENH-LIAB,Commercial Auto Physical Damage Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL004
COV008,AUTO-COMM-PD-ENH-PD,Commercial Auto Physical Damage Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL004
COV009,AUTO-FLEET-LIAB-STD-LIAB,Fleet Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL005
COV010,AUTO-FLEET-LIAB-STD-PD,Fleet Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL005
COV011,AUTO-FLEET-LIAB-ENH-LIAB,Fleet Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL006
COV012,AUTO-FLEET-LIAB-ENH-PD,Fleet Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL006
COV013,AUTO-FLEET-PD-STD-LIAB,Fleet Physical Damage Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL007
COV014,AUTO-FLEET-PD-STD-PD,Fleet Physical Damage Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL007
COV015,AUTO-FLEET-PD-ENH-LIAB,Fleet Physical Damage Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL008
COV016,AUTO-FLEET-PD-ENH-PD,Fleet Physical Damage Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL008
COV017,AUTO-HNO-LIAB-STD-LIAB,Hired and Non-Owned Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL009
COV018,AUTO-HNO-LIAB-STD-PD,Hired and Non-Owned Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL009
COV019,AUTO-HNO-LIAB-ENH-LIAB,Hired and Non-Owned Liability Core Liability Coverage,"Provides enhanced third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,1000000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL010
COV020,AUTO-HNO-LIAB-ENH-PD,Hired and Non-Owned Liability Vehicle Damage Coverage,"Covers enhanced repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,250000,250,5000,500,0,0,FALSE,TRUE,"Jan 01, 2020",,PL010
COV021,AUTO-HNO-EXCESS-STD-LIAB,Hired and Non-Owned Excess Liability Core Liability Coverage,"Provides standard third-party liability protection for covered auto claims, including bodily injury and property damage obligations.",1,COMBINED_SINGLE_LIMIT,FLAT,100000,5000000,500000,0,2500,0,0,0,FALSE,TRUE,"Jan 01, 2020",,PL011
COV022,AUTO-HNO-EXCESS-STD-PD,Hired and Non-Owned Excess Liability Vehicle Damage Coverage,"Covers standard repair or replacement exposure for covered vehicles, subject to plan terms and deductible rules.",2,PER_OCCURRENCE,FLAT,25000,1000000,100000,250,5000,1000,0,0,FALSE,TRUE,"Jan 01, 2020",,PL011
