InsuranceProductID,ProductName,FDN_Category,ProductType,Currency,IsActive,StartDate,EndDate,Notes
IPROD001,Home Insurance,IPCAT001,Home,USD,TRUE,1/1/2020,,Standard home insurance
IPROD002,Car Insurance,IPCAT002,Car,USD,TRUE,1/1/2020,,Standard car insurance
IPROD003,Health Insurance,IPCAT003,Health,USD,TRUE,1/1/2020,,Standard health insurance
IPROD004,Travel Insurance,IPCAT004,Travel,USD,TRUE,1/1/2020,,Standard travel insurance
IPROD005,Home Contents Insurance,IPCAT001,Home,USD,TRUE,1/1/2020,,Covers household contents
IPROD006,Landlord Insurance,IPCAT001,Home,USD,TRUE,1/1/2020,,For rental property owners
IPROD007,Comprehensive Car Insurance,IPCAT002,Car,USD,TRUE,1/1/2020,,Covers all car damages
IPROD008,Third Party Car Insurance,IPCAT002,Car,USD,TRUE,1/1/2020,,Covers third party liability
IPROD009,Private Health Insurance,IPCAT003,Health,USD,TRUE,1/1/2020,,Private medical cover
IPROD010,Travel Cancellation Insurance,IPCAT004,Travel,USD,TRUE,1/1/2020,,Covers trip cancellations
IPROD011,International Health Insurance,IPCAT003,Health,USD,TRUE,1/1/2020,,For expats and travelers
IPROD012,Pet Insurance,IPCAT003,Health,USD,TRUE,1/1/2020,,Covers veterinary costs
IPROD013,Mobile Device Insurance,IPCAT001,Home,USD,TRUE,1/1/2020,,Covers smartphones and tablets
IPROD014,Adventure Travel Insurance,IPCAT004,Travel,USD,TRUE,1/1/2020,,Covers adventure sports
