Strategy,Description
Absolute Return,Absolute return investment strategies include using short selling futures  options derivatives arbitrage leverage and unconventional assets. Absolute returns are examined separately from any other performance measure so only gains or losses on the investment are considered.
Corporate Structured Credit- Perf,A strategy focused on investing in corporate or structured credit instruments.
Distressed Debt,Distressed debt trading involves purchasing debt obligations such as high-yield bonds that are trading at a distressed level in anticipation of reselling those securities at a higher valuation generating a trading profit.
Emerging Markets Debt Total Return,The Emerging Markets Debt Hard Currency Strategy is a value-oriented fixed income strategy that seeks high total return from income and price appreciation by investing in a range of Sovereign Quasi-Sovereign and Corporate Debt securities in Emerging Markets.
European High Yield,The European High Yield Bond Strategy is a value-oriented fixed income strategy that seeks attractive returns through investing in a diversified portfolio of primarily high yielding fixed income securities.
European Senior Loans,The strategy aims to provide a high level of current income consistent with the preservation of capital by investing primarily in adjustable-rate senior loans whose interest rates float at a spread above Euribor and reset on average approximately every 60 days.
Global Convertibles,The Global Convertible Bond Strategy is designed to take advantage of the attractive risk/return characteristics of convertible bonds by allowing meaningful participation in equity market growth while attempting to manage downside risk through fixed income. The strategy combines top-down macroeconomic analysis with rigorous bottom-up fundamental research to help mitigate credit risk.
Global Credit,The Global Credit Strategy seeks attractive total returns from income and price appreciation by investing in a globally diversified portfolio of multi-currency debt issued by corporations and non-government issuers.
Global Credit Cash Proxy- Perf,The Global Credit Strategy seeks attractive total returns from income and price appreciation by investing in a globally diversified portfolio of multi-currency debt issued by corporations and non-government issuers. To help achieve this objective the strategy combines a top-down macroeconomic assessment to determine optimal beta positioning for the portfolio
Global Opportunities,he Global Opportunities Strategy focuses on absolute returns. The dramatic increase of ETF products allows the manager to invest across different asset types country
Multi-Strategy Credit,Multi-strategy involves managing investments from more than one asset class
Real Estate,"An investment strategy defined by its target assets, risk profile, and return objectives."
US Convertibles,A US convertible strategy that leverages Calamos capital structure research by investing predominantly in convertible securities
Structured Credit,Structured credit products are created through a securitization process in order to generate consistent alpha and manage downside volatility.
Global Senior Loans, Senior loans are debt securities typically used by companies to finance their operations in which financial assets such as loans and mortgages are pack- aged into interest-bearing securities backed by those assets
High Income,The Strategic Income Strategy seeks a positive absolute return by investing primarily in fixed income securities across a spectrum of asset classes including high yield bonds
Non-US Convertibles,The Global Convertible Bond Strategy is designed to take advantage of the attractive risk/return characteristics of convertible bonds by allowing meaningful participation in equity market growth while attempting to manage downside risk through fixed income. The strategy combines top-down macroeconomic analysis with rigorous bottom-up fundamental research to help mitigate credit risk.
Strategic Credit,The Strategic Credit Strategy is an actively managed strategy designed to capture our ?best ideas? primarily in below investment grade credit by dynamically allocating between higher yielding credit sectors in response to changing market opportunities with the goal of maximizing risk-adjusted returns.
US High Yield,The High Yield strategy seeks to generate high current income with the opportunity for capital appreciation by investing in primarily below- investment grade corporate bonds. The investment team focuses on evaluating the underlying business fundamentals and credit risk of high yield securities.
US Private Debt,"An investment strategy defined by its target assets, risk profile, and return objectives."
US Senior Loans,The strategy aims to provide a high level of current income consistent with the preservation of capital
