PolicyStatusCode,PolicyStatusName,StatusCategory,IsInForceFlag,Description
QUOTE,Quote,PRE_BIND,FALSE,"Initial policy quote prepared before underwriting approval or binding."
APPLICATION,Application,PRE_BIND,FALSE,"Submitted application record awaiting underwriting review and final terms."
UNDER_REVIEW,Underwriting Review,PRE_BIND,FALSE,"Policy submission is being evaluated for eligibility, pricing, and required documentation."
BOUND,Bound,BOUND,TRUE,"Coverage has been bound and is temporarily or formally in effect pending issuance."
ISSUED,Issued,IN_FORCE,TRUE,"Policy documents have been issued and coverage is active under approved terms."
ACTIVE,Active,IN_FORCE,TRUE,"Policy is currently in force and eligible for covered claims activity."
RENEWAL_PENDING,Renewal Pending,RENEWAL,TRUE,"Policy remains in force while renewal terms are being prepared or reviewed."
REINSTATED,Reinstated,IN_FORCE,TRUE,"Previously inactive policy has been restored to in-force status after approval."
SUSPENDED,Suspended,SUSPENDED,FALSE,"Policy benefits or coverage activity are temporarily suspended pending resolution."
LAPSED,Lapsed,TERMINAL,FALSE,"Policy is no longer active because required renewal or payment conditions were not met."
CANCELLED,Cancelled,TERMINAL,FALSE,"Policy was cancelled before its natural expiration date."
EXPIRED,Expired,TERMINAL,FALSE,"Policy term has ended and coverage is no longer in force."
NON_RENEWED,Non-Renewed,TERMINAL,FALSE,"Policy was not renewed at the end of the policy term."
