device_id,iot_device_type,manufacturer,model,firmware_version,installation_date,iot_device_status,machine,data_collected
1,1,Siemens,TempMonitor-T200,v3.14.5-build5653,05-01-2025,1,1,Ram Position
2,2,ABB,PressureNode-P400,v4.12.10-build1138,08-06-2025,1,2,Cut Quality
3,3,Omron,HubConnect-H600,v3.1.5-build6305,30-06-2025,1,3,Tool Wear
4,4,Rockwell,AutoControl-A350,v5.2.7-build8889,21-07-2025,2,4,Weld Current
5,5,Omron,InspectCam-I300,v6.3.16-build6321,01-04-2024,1,5,Pneumatic Pressure
6,1,Omron,SensorPro-1000,v7.15.4-build3936,28-11-2024,1,6,Feed Rate
7,2,Omron,FlowMeter-F300,v6.12.3-build7127,10-01-2025,1,7,Oil Temperature
8,3,ABB,DataBridge-D250,v5.11.8-build2520,14-04-2025,2,8,Image Resolution
9,4,ABB,Controller-C900,v7.7.21-build210,22-05-2025,1,9,Package Weight
10,5,Schneider,InspectCam-I300,v4.2.10-build7413,28-04-2025,1,10,Travel Speed
