Code,Name,Description
Autoimmune Disease,Autoimmune Disease,A condition in which the body's immune system mistakes its own healthy tissues as foreign and attacks them.
CNS,CNS,CNS (Central Nervous System) With many unmet needs across a myriad of conditions affecting the central nervous system
Cardiology,Cardiology,"Cardiology is a branch of medicine that deals with disorders of the heart and the cardiovascular system. The field includes medical diagnosis and treatment of congenital heart defects, coronary artery disease, heart failure, valvular heart disease, and electrophysiology."
Cardiovascular Disease,Cardiovascular Disease,Cardiovascular disease is any disease involving the heart or blood vessels. 
Dermatology,Dermatology,Dermatology is the branch of medicine dealing with the skin. It is a speciality with both medical and surgical aspects
Disease,Disease,"A disease is a particular abnormal condition that adversely affects the structure or function of all or part of an organism and is not immediately due to any external injury. "
Endocrinology,Endocrinology,"Endocrinology is a branch of biology and medicine dealing with the endocrine system, its diseases, and its specific secretions known as hormones."
Gastroenterology,Gastroenteralogy,Gastroenterology is the branch of medicine focused on the digestive system and its disorders.
Gene Therapy,Gene Therapy,Gene therapy is a medical technology that aims to produce a therapeutic effect through the manipulation of gene expression or through altering the biological properties of living cells.
Hematology,Hematology,"Hematology is the branch of medicine concerned with the study of the cause, prognosis, treatment, and prevention of diseases related to blood."
Immunology,Immunology,The immune system protects us from infection through various lines of defence.
Infectious Diseases,Infectious Diseases,"Caused by microorganisms such as bacteria, viruses, fungi, or parasites, infectious diseases range from mild, self-limiting infections to severe, life threatening."
Medical Devices,Medical Devices,"A medical device can be any instrument, apparatus, implement, machine, appliance, implant, reagent for in vitro use, software, material or other similar or related article, intended by the manufacturer to be used, alone or in combination for a medical purpose."
Nephrology,Nephrology,"Nephrology is a specialty for both adult internal medicine and pediatric medicine that concerns the study of the kidneys, specifically normal kidney function and kidney disease, the preservation of kidney health, and the treatment of kidney disease, from diet and medication to renal replacement therapy."
Neurology,Neurology,"Neurology is the branch of medicine dealing with the diagnosis and treatment of all categories of conditions and disease involving the nervous system, which comprises the brain, the spinal cord and the peripheral nerves."
Neuroscience,Neuroscience,"Neuroscience is the scientific study of the nervous system, its functions and disorders."
Oncology,Oncology,"Oncology is a branch of medicine that deals with the study, treatment, diagnosis, and prevention of cancer. "
Opthamology,Opthamology,Ophthalmology is a clinical and surgical specialty within medicine that deals with the diagnosis and treatment of eye disorders.
Pain Management,Pain Management,"Pain management is an aspect of medicine and health care involving relief of pain in various dimensions, from acute and simple to chronic and challenging. "
Pediatrics,Pediatrics,"Pediatrics is the branch of medicine that involves the medical care of infants, children, adolescents, and young adults."
Pulmonary,Pulmonary,Pulmonary means of or relating to the lungs.
Respiratory,Respiratory,Relating to breathing.
Rheumatology,Rheumatology,"Rheumatology is a branch of medicine devoted to the diagnosis and management of disorders whose common feature is inflammation in the bones, muscles, joints, and internal organs"
Vaccines,Vaccines,"A substance used to stimulate immunity to a particular infectious disease or pathogen, typically prepared from an inactivated or weakened form of the causative agent or from its constituents or products."
TBD,Unknown,Unknown
