FoundationTypeID,FoundationTypeCode,FoundationTypeName,Description
1,SLAB,Slab Foundation,"Concrete slab foundation poured directly at grade or on prepared ground."
2,CRAWL_SPACE,Crawl Space Foundation,"Raised foundation with accessible crawl space beneath the structure."
3,FULL_BASEMENT,Full Basement Foundation,"Foundation includes a full below-grade basement under most of the structure."
4,PARTIAL_BASEMENT,Partial Basement Foundation,"Foundation includes a basement under only part of the structure."
5,PIER_AND_BEAM,Pier and Beam Foundation,"Structure is supported by piers and beams, often with open or ventilated space below."
6,PILE,Pile Foundation,"Deep foundation using driven or drilled piles to transfer load to stable soil or rock."
7,STEM_WALL,Stem Wall Foundation,"Concrete or masonry stem walls support the structure above footings."
8,RAFT_MAT,Raft or Mat Foundation,"Large reinforced slab distributes structural load across weak or variable soil conditions."
9,POST_AND_PIER,Post and Pier Foundation,"Posts or piers support the structure above grade, commonly used for lighter structures."
10,STONE_MASONRY,Stone or Masonry Foundation,"Older-style foundation constructed from stone, brick, block, or similar masonry material."
11,ELEVATED_COASTAL,Elevated Coastal Foundation,"Structure is elevated on piles, piers, or columns to reduce flood or storm-surge exposure."
12,OTHER,Other Foundation,"Foundation type is known but does not fit the standard classified foundation categories."
