product_id,name,product_code,description,machine,product_category,unit_of_measure
1,Automotive Brake Disc,BRK-DSC-280MM,Ventilated brake disc 280mm diameter,1,1,2
2,Aluminum Sheet,ALU-SHT-5MM,Custom cut aluminum sheet component,2,1,2
3,Manifold Housing,MNF-HSG-ALU,Aluminum manifold with precision holes,3,1,2
4,Structural Beam,STR-BM-I200,I-beam structural component,4,1,2
5,Gearbox Assembly,GBX-ASM-5SPD,5-speed manual gearbox assembly,5,2,2
6,Bearing Race,BRG-RCE-SKF,High-precision bearing race component,6,2,2
7,Metal Bracket,MTL-BRK-H150,Heavy-duty steel mounting bracket,7,1,2
8,Certified Part,CRT-PRT-ISO,ISO certified manufactured part,8,3,2
9,Industrial Kit,IND-KIT-MNT,Industrial maintenance kit package,9,4,5
10,Chassis Frame,CHS-FRM-AUTO,Automotive chassis frame assembly,10,1,2
