INDUSTRY_ID,INDUSTRY_LABEL,INDUSTRY_NAME
Agriculture,Agriculture,Agriculture
Apparel,Apparel,Apparel
Banking,Banking,Banking
Biotechnology,Biotechnology,Biotechnology
Chemicals,Chemicals,Chemicals
Communications,Communications,Communications
Construction,Construction,Construction
Consulting,Consulting,Consulting
Education,Education,Education
Electronics,Electronics,Electronics
Energy,Energy,Energy
Engineering,Engineering,Engineering
Entertainment,Entertainment,Entertainment
Environmental,Environmental,Environmental
Finance,Finance,Finance
Food & Beverage,Food & Beverage,Food & Beverage
Government,Government,Government
Healthcare,Healthcare,Healthcare
Hospitality,Hospitality,Hospitality
Insurance,Insurance,Insurance
Machinery,Machinery,Machinery
Manufacturing,Manufacturing,Manufacturing
Media,Media,Media
Not For Profit,Not For Profit,Not For Profit
Other,Other,Other
Recreation,Recreation,Recreation
Retail,Retail,Retail
Shipping,Shipping,Shipping
Technology,Technology,Technology
Telecommunications,Telecommunications,Telecommunications
Transportation,Transportation,Transportation
Utilities,Utilities,Utilities
Air Transportation,Air Transportation,Air Transportation
Automotive,Automotive,Automotive
Conglomerate,Conglomerate,Conglomerate
Oil and chemical,Oil and chemical,Oil and chemical
Mining,Mining,Mining
Pharmaceuticals,Pharmaceuticals,Pharmaceuticals
Industrial supplies,Industrial supplies,Industrial supplies
Industrials,Industrials,Industrials
