InsuranceTypeID,InsuranceTypeCode,InsuranceTypeName,AdmittedFlag,EffectiveFrom,EffectiveTo,FID_RiskClass,FID_InsuranceProduct,Description
IT001,AUTO-COMM-LIAB,Commercial Auto Liability,TRUE,"Jan 01, 2020",,3,PRD001,Covers third-party bodily injury and property damage from commercial vehicle use.
IT002,AUTO-COMM-PD,Commercial Auto Physical Damage,TRUE,"Jan 01, 2020",,2,PRD001,Covers physical damage to business-owned vehicles.
IT003,AUTO-FLEET-LIAB,Fleet Liability,TRUE,"Jan 01, 2020",,4,PRD002,Liability coverage for businesses operating multiple vehicles.
IT004,AUTO-FLEET-PD,Fleet Physical Damage,TRUE,"Jan 01, 2020",,3,PRD002,Physical damage coverage for fleet vehicles.
IT005,AUTO-HNO-LIAB,Hired and Non-Owned Liability,TRUE,"Jan 01, 2020",,3,PRD003,Liability for hired vehicles or employee-owned vehicles used for business.
IT006,AUTO-HNO-EXCESS,Hired and Non-Owned Excess Liability,TRUE,"Jan 01, 2020",,4,PRD003,Additional liability protection for hired and non-owned auto exposure.
IT007,AUTO-TRUCK-LIAB,Trucking Liability,TRUE,"Jan 01, 2020",,4,PRD004,Liability coverage for trucking operations.
IT008,AUTO-TRUCK-CARGO,Truckers Cargo Coverage,TRUE,"Jan 01, 2020",,5,PRD004,Covers goods or cargo transported by trucking businesses.
IT009,PROP-BLDG-BASIC,Building Basic Perils,TRUE,"Jan 01, 2020",,2,PRD005,Basic covered-peril protection for commercial buildings.
IT010,PROP-BLDG-SPEC,Building Special Perils,TRUE,"Jan 01, 2020",,3,PRD005, Broader special-perils coverage for commercial buildings.
IT011,PROP-BPP-CONT,Business Contents Coverage,TRUE,"Jan 01, 2020",,2,PRD006,"Covers business contents such as inventory, furniture, and supplies."
IT012,PROP-BPP-EQUIP,Business Equipment Coverage,TRUE,"Jan 01, 2020",,2,PRD006,"Covers business machinery, tools, and equipment."
IT013,PROP-BI-INCOME,Business Income Coverage,TRUE,"Jan 01, 2020",,3,PRD007,Reimburses lost income after covered property damage.
IT014,PROP-BI-EXTRA,Extra Expense Coverage,TRUE,"Jan 01, 2020",,3,PRD007,Covers extra expenses needed to continue operations after a loss.
IT015,PROP-SPEC-ALLRISK,Special Form All Risk Property,TRUE,"Jan 01, 2020",,4,PRD008,Broad commercial property protection unless specifically excluded.
IT016,PROP-SPEC-CAT,Special Form Catastrophe Extension,TRUE,"Jan 01, 2020",,6,PRD008,Adds catastrophe-oriented protection for severe property loss events.
IT017,PA-STD-LIAB,Personal Auto Liability,TRUE,"Jan 01, 2020",,2,PRD009,Standard liability coverage for personal auto policies.
IT018,PA-STD-PD,Personal Auto Physical Damage,TRUE,"Jan 01, 2020",,2,PRD009,Covers collision and other physical damage to personal vehicles.
IT019,PA-PREF-LIAB,Preferred Auto Liability,TRUE,"Jan 01, 2020",,1,PRD010,Liability coverage for preferred lower-risk personal auto customers.
IT020,PA-PREF-COMP,Preferred Auto Comprehensive,TRUE,"Jan 01, 2020",,1,PRD010,Comprehensive protection for preferred personal auto risks.
IT021,PA-NONSTD-LIAB,Non-Standard Auto Liability,TRUE,"Jan 01, 2020",,4,PRD011,Liability coverage for higher-risk or non-standard drivers.
IT022,PA-NONSTD-SR22,Non-Standard Financial Responsibility Filing,FALSE,"Jan 01, 2020",,5,PRD011,Supports required financial responsibility filings for non-standard drivers.
IT023,PA-MULTI-LIAB,Multi-Vehicle Liability,TRUE,"Jan 01, 2020",,2,PRD012,Liability coverage for households with multiple vehicles.
IT024,PA-MULTI-PACK,Multi-Vehicle Package Coverage,TRUE,"Jan 01, 2020",,1,PRD012,Bundled multi-vehicle personal auto coverage package.
IT025,HOME-HO3-DWELL,HO-3 Dwelling Coverage,TRUE,"Jan 01, 2020",,1,PRD013,Covers the insured dwelling under an HO-3 homeowners policy.
IT026,HOME-HO3-LIAB,HO-3 Personal Liability,TRUE,"Jan 01, 2020",,1,PRD013,Personal liability protection under an HO-3 policy.
IT027,HOME-HO5-DWELL,HO-5 Comprehensive Dwelling,TRUE,"Jan 01, 2020",,1,PRD014,Broader dwelling coverage under an HO-5 homeowners policy.
IT028,HOME-HO5-PROP,HO-5 Personal Property,TRUE,"Jan 01, 2020",,1,PRD014,Comprehensive personal property coverage under HO-5.
IT029,HOME-CONDO-BLDG,Condo Building Items,TRUE,"Jan 01, 2020",,1,PRD015,Covers condominium unit interior building items.
IT030,HOME-CONDO-LIAB,Condo Personal Liability,TRUE,"Jan 01, 2020",,1,PRD015, Liability protection for condominium unitowners.
IT031,HOME-RENT-PROP,Renters Personal Property,TRUE,"Jan 01, 2020",,1,PRD016,Covers renters’ personal belongings.
IT032,HOME-RENT-LIAB,Renters Liability,TRUE,"Jan 01, 2020",,1,PRD016,Liability protection for renters.
