"ProductName","Description","ProductCategory","SourceID_Merchant","PublisherID_Merchant","ProductStatus"
"Widget A","Compact widget for general use","Electronics","M700007","API","ACTIVE"
"Widget B","Advanced widget with extra features","Electronics","M700024","UI","ACTIVE"
"Gadget 100","Entry-level gadget","Electronics","M700098","UI","ACTIVE"
"Gadget 200","Enhanced gadget with extended battery","Electronics","M700027","UI","ACTIVE"
"Alpha Phone","Smartphone with 6.1 inch display","Smart Home","M700084","API","ACTIVE"
"Beta Phone","Affordable smartphone with 5.8 inch display","Smart Home","M700005","API","INACTIVE"
"Mini Laptop","Lightweight laptop for travel","Travel Accessories","M700034","UI","DISCONTINUED"
"Pro Laptop","High-performance laptop for professionals","Electronics","M700082","API","ACTIVE"
"NoiseCancel Headphones","Over-ear headphones with noise cancellation","Electronics","M700013","UI","ACTIVE"
"Bluetooth Speaker","Portable speaker with Bluetooth","Electronics","M700091","UI","ACTIVE"
"4K Camera","High-resolution camera for photography","Camera & Photo","M700065","API","INACTIVE"
"Action Cam","Durable action camera for sports","Sports & Outdoors","M700093","API","INACTIVE"
"Smartwatch X","Fitness-focused smartwatch","Fitness Equipment","M700039","UI","DISCONTINUED"
"Fitness Tracker","A simple activity tracker","Fitness Equipment","M700079","API","INACTIVE"
"Office Chair","Ergonomic office chair","Office Supplies","M700070","UI","ACTIVE"
"Standing Desk","Height-adjustable standing desk","Electronics","M700070","UI","ACTIVE"
"Coffee Maker","Automatic drip coffee maker","Electronics","M700098","UI","INACTIVE"
"Espresso Machine","Compact espresso maker","Electronics","M700077","UI","ACTIVE"
"Air Fryer","Healthy frying alternative","Health & Beauty","M700011","API","INACTIVE"
"Blender Pro","High-speed blender for smoothies","Electronics","M700070","UI","ACTIVE"
"Vacuum Cleaner","Powerful upright vacuum","Electronics","M700056","UI","DISCONTINUED"
"Robot Vacuum","Autonomous floor cleaning robot","Electronics","M700051","API","ACTIVE"
"Electric Kettle","Fast-boil electric kettle","Electronics","M700020","API","ACTIVE"
"Toaster Oven","Multi-function toaster oven","Electronics","M700045","UI","ACTIVE"
"Gas Grill","Outdoor gas barbecue grill","Electronics","M700026","API","INACTIVE"
"Patio Heater","Outdoor patio heater","Electronics","M700022","API","INACTIVE"
"LED TV 55","55-inch LED television","Electronics","M700030","UI","ACTIVE"
"Soundbar Max","High-fidelity soundbar","Electronics","M700058","UI","ACTIVE"
"Router 3000","High-performance home router","Home & Garden","M700089","UI","ACTIVE"
"Mesh WiFi Kit","Whole-home mesh WiFi system","Home & Garden","M700006","UI","ACTIVE"
"Smart Light Bulb","Energy-efficient smart bulb","Smart Home","M700067","API","ACTIVE"
"Home Security Camera","Indoor security camera","Home & Garden","M700043","API","ACTIVE"
"Smoke Detector","Smart smoke and CO detector","Smart Home","M700006","UI","ACTIVE"
"Water Filter","Under-sink water filtration system","Water Sports","M700093","API","ACTIVE"
"Kitchen Knife Set","Professional stainless steel knives","Electronics","M700031","UI","ACTIVE"
"Cookware Set","Non-stick cookware set","Cookware","M700081","UI","ACTIVE"
"Cutting Board","Durable bamboo cutting board","Board Games","M700028","UI","ACTIVE"
"Picture Frame","Wooden picture frame","Electronics","M700078","UI","ACTIVE"
"Area Rug","Decorative area rug 5x8","Home Decor","M700100","UI","ACTIVE"
