CoverageStatusCode,CoverageStatusName,CoverageLifecycleStage,SelectableForNewBusinessFlag,ClaimsPayableFlag,RequiresUnderwriterReviewFlag,Description
QUOTED,Quoted,QUOTE,TRUE,FALSE,FALSE,"Coverage has been quoted for the policy but has not yet been submitted for binding."
REQUESTED,Requested,APPLICATION,TRUE,FALSE,FALSE,"Coverage has been requested on the policy application and is pending eligibility checks."
UW_REVIEW,Underwriting Review,UNDERWRITING,FALSE,FALSE,TRUE,"Coverage requires underwriting review before it can be bound or issued."
APPROVED,Approved,UNDERWRITING,TRUE,FALSE,FALSE,"Coverage has been approved by underwriting and can be selected for new business."
DECLINED,Declined,CLOSED,FALSE,FALSE,TRUE,"Coverage was reviewed and declined due to underwriting or eligibility rules."
BOUND,Bound,BINDING,TRUE,TRUE,FALSE,"Coverage has been bound and may respond to covered losses subject to policy terms."
ACTIVE,Active,IN_FORCE,TRUE,TRUE,FALSE,"Coverage is active on an in-force policy and eligible for covered claim payments."
ENDORSED,Endorsed,IN_FORCE,TRUE,TRUE,TRUE,"Coverage has been modified by endorsement and may require underwriting confirmation."
SUSPENDED,Suspended,SUSPENDED,FALSE,FALSE,TRUE,"Coverage is temporarily suspended and claim payments are not payable until resolved."
CANCELLED,Cancelled,TERMINATED,FALSE,FALSE,FALSE,"Coverage was cancelled before the end of the policy term."
EXPIRED,Expired,TERMINATED,FALSE,FALSE,FALSE,"Coverage reached the end of its effective term and is no longer in force."
LAPSED,Lapsed,TERMINATED,FALSE,FALSE,TRUE,"Coverage lapsed because required premium or renewal conditions were not met."
REINSTATED,Reinstated,IN_FORCE,TRUE,TRUE,TRUE,"Coverage was restored after lapse or cancellation and is again eligible for claim payments."
NON_RENEWED,Non-Renewed,TERMINATED,FALSE,FALSE,TRUE,"Coverage was not renewed at the end of the policy term."
WITHDRAWN,Withdrawn,CLOSED,FALSE,FALSE,FALSE,"Coverage was removed from consideration before binding or issuance."
