ConstructionTypeID,ConstructionTypeCode,ConstructionTypeName,Description
1,FRAME,Frame,"Exterior walls are primarily wood or other combustible construction materials."
2,MASONRY_VENEER,Masonry Veneer,"Combustible frame construction with a brick, stone, or masonry veneer exterior."
3,JOISTED_MASONRY,Joisted Masonry,"Exterior walls are masonry or concrete block with combustible floor or roof assemblies."
4,NON_COMBUSTIBLE,Non-Combustible,"Structural components and exterior walls are primarily non-combustible materials."
5,MASONRY_NON_COMBUSTIBLE,Masonry Non-Combustible,"Exterior walls are masonry with non-combustible or slow-burning floor and roof assemblies."
6,MODIFIED_FIRE_RESISTIVE,Modified Fire Resistive,"Building uses fire-resistive materials with lower fire resistance than full fire-resistive construction."
7,FIRE_RESISTIVE,Fire Resistive,"Structural components are designed with rated fire resistance for walls, floors, and roof assemblies."
8,HEAVY_TIMBER,Heavy Timber,"Building uses large-dimension timber members with fire-resistance characteristics from mass and charring behavior."
9,METAL_FRAME,Metal Frame,"Structure is supported primarily by steel or metal framing systems."
10,CONCRETE,Concrete,"Structure is built primarily with reinforced concrete walls, columns, floors, or roof components."
11,MANUFACTURED,Manufactured,"Factory-built or modular structure assembled on-site or installed as a manufactured building."
12,MIXED_CONSTRUCTION,Mixed Construction,"Building uses multiple construction methods or materials that do not fit a single standard class."
